날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만),kospi
2019.12.30,2197.67,6.54,-0.30%,416403.0,4113597.0,0.2975878999121797
2020.01.02,2175.17,22.5,-1.02%,494677.0,4638167.0,1.0344019088163225
2020.01.03,2176.46,1.29,+0.06%,631562.0,5763662.0,0.05927055861352839
2020.01.06,2155.07,21.39,-0.98%,592670.0,5156540.0,0.9925431656512317
2020.01.07,2175.54,20.47,+0.95%,568235.0,5143511.0,0.9409158186013588
2020.01.08,2151.31,24.23,-1.11%,913830.0,8750722.0,1.1262904927695219
2020.01.09,2186.45,35.14,+1.63%,592603.0,7261591.0,1.6071714422923002
2020.01.10,2206.39,19.94,+0.91%,594536.0,6459299.0,0.903738686270333
2020.01.13,2229.26,22.87,+1.04%,488288.0,6214780.0,1.0259009716228702
2020.01.14,2238.88,9.62,+0.43%,835899.0,7294227.0,0.42967912527692415
2020.01.15,2230.98,7.9,-0.35%,746156.0,5946351.0,0.3541044742669141
2020.01.16,2248.05,17.07,+0.77%,808331.0,6204474.0,0.7593247481150329
2020.01.17,2250.57,2.52,+0.11%,580816.0,5444383.0,0.1119716338527573
2020.01.20,2262.64,12.07,+0.54%,545491.0,5950403.0,0.5334476540678147
2020.01.21,2239.69,22.95,-1.01%,770319.0,5569550.0,1.0246953819501807
2020.01.22,2267.25,27.56,+1.23%,608509.0,6365617.0,1.215569522549344
2020.01.23,2246.13,21.12,-0.93%,509608.0,6790103.0,0.940283955069386
2020.01.28,2176.72,69.41,-3.09%,808878.0,8818232.0,3.188742695431659
2020.01.29,2185.28,8.56,+0.39%,692300.0,6589949.0,0.3917118172499634
2020.01.30,2148.0,37.28,-1.71%,602838.0,7105203.0,1.7355679702048419
2020.01.31,2119.01,28.99,-1.35%,710507.0,7226687.0,1.368091703201023
2020.02.03,2118.88,0.13,-0.01%,836699.0,8068704.0,0.0061353167711243675
2020.02.04,2157.9,39.02,+1.84%,624641.0,7791178.0,1.8082394920987999
2020.02.05,2165.63,7.73,+0.36%,574395.0,7736275.0,0.35694001283691124
2020.02.06,2227.94,62.31,+2.88%,695216.0,8334737.0,2.796753952081295
2020.02.07,2211.95,15.99,-0.72%,800342.0,8813174.0,0.7228915662650603
2020.02.10,2201.07,10.88,-0.49%,609566.0,5471061.0,0.4943050425474883
2020.02.11,2223.12,22.05,+1.00%,526211.0,6611195.0,0.9918492928856742
2020.02.12,2238.38,15.26,+0.69%,632462.0,6892197.0,0.6817430463102779
2020.02.13,2232.96,5.42,-0.24%,638666.0,8121197.0,0.24272714244769275
2020.02.14,2243.59,10.63,+0.48%,597224.0,6379565.0,0.47379423156637357
2020.02.17,2242.17,1.42,-0.06%,458247.0,5639200.0,0.06333150474763287
2020.02.18,2208.88,33.29,-1.48%,470424.0,6411451.0,1.5070986201151713
2020.02.19,2210.34,1.46,+0.07%,591155.0,7107033.0,0.06605318638761457
2020.02.20,2195.5,14.84,-0.67%,709563.0,7677672.0,0.6759280346162605
2020.02.21,2162.84,32.66,-1.49%,635474.0,7105856.0,1.5100515988237684
2020.02.24,2079.04,83.8,-3.87%,948620.0,9315474.0,4.030706479913807
2020.02.25,2103.61,24.57,+1.18%,1565588.0,8952278.0,1.1679921658482322
2020.02.26,2076.77,26.84,-1.28%,810937.0,8060327.0,1.2923915503401917
2020.02.27,2054.89,21.88,-1.05%,562775.0,7241174.0,1.0647771900199037
2020.02.28,1987.01,67.88,-3.30%,671551.0,9927960.0,3.4161881419821736
2020.03.02,2002.51,15.5,+0.78%,528103.0,7811002.0,0.7740285941143865
2020.03.03,2014.15,11.64,+0.58%,615692.0,8687846.0,0.5779112777102003
2020.03.04,2059.33,45.18,+2.24%,606287.0,7829192.0,2.193917439167108
2020.03.05,2085.26,25.93,+1.26%,675205.0,7954349.0,1.243490020429107
2020.03.06,2040.22,45.04,-2.16%,865588.0,7233537.0,2.2076050621991747
2020.03.09,1954.77,85.45,-4.19%,666868.0,8796943.0,4.371358267213023
2020.03.10,1962.93,8.16,+0.42%,638564.0,9133693.0,0.415705093915728
2020.03.11,1908.27,54.66,-2.78%,679716.0,8598096.0,2.8643745381942805
2020.03.12,1834.33,73.94,-3.87%,850344.0,11309953.0,4.030899565508932
2020.03.13,1771.44,62.89,-3.43%,1035277.0,13376937.0,3.5502190308449624
2020.03.16,1714.86,56.58,-3.19%,682003.0,8593833.0,3.2993947027745705
2020.03.17,1672.44,42.42,-2.47%,649779.0,9709076.0,2.536413862380713
2020.03.18,1591.2,81.24,-4.86%,728007.0,9576387.0,5.105580693815988
2020.03.19,1457.64,133.56,-8.39%,977674.0,11932492.0,9.16275623610768
2020.03.20,1566.15,108.51,+7.44%,817021.0,10632970.0,6.928455128819079
2020.03.23,1482.46,83.69,-5.34%,647528.0,9645271.0,5.645346248802666
2020.03.24,1609.97,127.51,+8.60%,679288.0,10481447.0,7.920023354472444
2020.03.25,1704.76,94.79,+5.89%,872808.0,12612287.0,5.560313475210587
2020.03.26,1686.24,18.52,-1.09%,992473.0,12374197.0,1.0983015466363033
2020.03.27,1717.73,31.49,+1.87%,1077526.0,12851932.0,1.8332333952367368
2020.03.30,1717.12,0.61,-0.04%,767776.0,9081049.0,0.03552459932910921
2020.03.31,1754.64,37.52,+2.19%,1037488.0,13905369.0,2.1383303697624587
2020.04.01,1685.46,69.18,-3.94%,1243590.0,12110507.0,4.10451746110854
2020.04.02,1724.86,39.4,+2.34%,766313.0,10152244.0,2.2842433588813003
2020.04.03,1725.44,0.58,+0.03%,1000086.0,10153714.0,0.03361461424332344
2020.04.06,1791.88,66.44,+3.85%,1219388.0,10957483.0,3.7078375784092685
2020.04.07,1823.6,31.72,+1.77%,951738.0,11628935.0,1.7394165387146305
2020.04.08,1807.14,16.46,-0.90%,907493.0,11126542.0,0.9108314795754617
2020.04.09,1836.21,29.07,+1.61%,920570.0,10517358.0,1.5831522538271765
2020.04.10,1860.7,24.49,+1.33%,992548.0,12009988.0,1.316171333369162
2020.04.13,1825.76,34.94,-1.88%,1017751.0,9516704.0,1.9137236000350537
2020.04.14,1857.08,31.32,+1.72%,886766.0,9995854.0,1.686518620630237
2020.04.16,1857.07,0.01,-0.00%,878338.0,10710793.0,0.000538482663550647
2020.04.17,1914.53,57.46,+3.09%,1667459.0,14127722.0,3.001258794586661
2020.04.20,1898.36,16.17,-0.84%,1087463.0,11915932.0,0.8517878589940792
2020.04.21,1879.38,18.98,-1.00%,1174293.0,13863164.0,1.0099075226936542
2020.04.22,1896.15,16.77,+0.89%,820359.0,9428672.0,0.8844237006565935
2020.04.23,1914.73,18.58,+0.98%,683719.0,9124271.0,0.9703718017683955
2020.04.24,1889.01,25.72,-1.34%,933917.0,9647344.0,1.3615597588154642
2020.04.27,1922.77,33.76,+1.79%,735662.0,8171668.0,1.7558002257160241
2020.04.28,1934.09,11.32,+0.59%,1173476.0,10375078.0,0.5852881716983181
2020.04.29,1947.56,13.47,+0.70%,1984181.0,10525128.0,0.6916346608063424
2020.05.04,1895.37,52.19,-2.68%,1146855.0,10261902.0,2.7535520769031905
