날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,27600.0,200.0,27350.0,27700.0,27250.0,78909.0,,
2020.01.02,28500.0,900.0,27650.0,28650.0,27550.0,173745.0,3.1578947368421053,
2020.01.03,28150.0,350.0,28950.0,29050.0,27750.0,183726.0,-1.2433392539964476,
2020.01.06,27000.0,1150.0,27550.0,27750.0,26900.0,186364.0,-4.25925925925926,
2020.01.07,26950.0,50.0,27250.0,27400.0,26550.0,150049.0,-0.1855287569573284,
2020.01.08,25600.0,1350.0,26600.0,26600.0,25300.0,297425.0,-5.2734375,
2020.01.09,26700.0,1100.0,26800.0,27200.0,26400.0,143372.0,4.119850187265917,
2020.01.10,27050.0,350.0,26900.0,27050.0,26600.0,105147.0,1.2939001848428835,
2020.01.13,27250.0,200.0,27200.0,27300.0,26750.0,97894.0,0.7339449541284404,
2020.01.14,27850.0,600.0,27300.0,27950.0,27100.0,130902.0,2.154398563734291,
2020.01.15,28050.0,200.0,28200.0,28400.0,27850.0,141785.0,0.7130124777183601,
2020.01.16,28700.0,650.0,28050.0,29400.0,28000.0,320239.0,2.264808362369338,
2020.01.17,28450.0,250.0,28850.0,28850.0,28050.0,146378.0,-0.8787346221441126,
2020.01.20,29050.0,600.0,28550.0,29350.0,28500.0,247520.0,2.0654044750430294,
2020.01.21,28500.0,550.0,29350.0,29400.0,28200.0,188194.0,-1.9298245614035088,
2020.01.22,29000.0,500.0,28950.0,29050.0,27850.0,216435.0,1.7241379310344829,
2020.01.23,28750.0,250.0,29300.0,29900.0,28600.0,357072.0,-0.8695652173913043,
2020.01.28,33800.0,5050.0,29900.0,35900.0,29300.0,4513496.0,14.940828402366865,
2020.01.29,30950.0,2850.0,32350.0,32350.0,30200.0,1020476.0,-9.208400646203556,
2020.01.30,29200.0,1750.0,31300.0,32000.0,29100.0,814330.0,-5.993150684931506,
2020.01.31,30050.0,850.0,30400.0,31500.0,28750.0,1214050.0,2.828618968386023,
2020.02.03,28200.0,1850.0,29600.0,31300.0,28000.0,787587.0,-6.560283687943263,
2020.02.04,27900.0,300.0,28250.0,28500.0,27350.0,352134.0,-1.0752688172043012,
2020.02.05,28050.0,150.0,28150.0,29250.0,27800.0,389773.0,0.53475935828877,
2020.02.06,28100.0,50.0,28300.0,28400.0,27750.0,180810.0,0.1779359430604982,
2020.02.07,29200.0,1100.0,28450.0,29450.0,28200.0,407427.0,3.767123287671233,
