날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,11300.0,50.0,11250.0,11350.0,11100.0,2933.0,,
2020.01.02,11000.0,300.0,11150.0,11350.0,10850.0,15591.0,-2.727272727272727,
2020.01.03,11250.0,250.0,11000.0,11250.0,10800.0,10694.0,2.2222222222222223,
2020.01.06,11000.0,250.0,11250.0,11250.0,10850.0,3348.0,-2.272727272727273,
2020.01.07,10900.0,100.0,11000.0,11250.0,10800.0,8432.0,-0.9174311926605504,
2020.01.08,10600.0,300.0,11000.0,11050.0,10400.0,10311.0,-2.8301886792452837,
2020.01.09,11000.0,400.0,10650.0,11000.0,10650.0,13625.0,3.636363636363636,
2020.01.10,10950.0,50.0,10900.0,11100.0,10700.0,9259.0,-0.45662100456620996,
2020.01.13,10900.0,50.0,10850.0,10950.0,10800.0,7745.0,-0.4587155963302753,
2020.01.14,10850.0,50.0,10950.0,11050.0,10750.0,10358.0,-0.4608294930875576,
2020.01.15,10850.0,0.0,10900.0,10900.0,10750.0,2834.0,0.0,
2020.01.16,10700.0,150.0,10850.0,10850.0,10550.0,23755.0,-1.4018691588785046,
2020.01.17,10750.0,50.0,10700.0,10750.0,10550.0,9849.0,0.4651162790697674,
2020.01.20,12700.0,1950.0,10850.0,13500.0,10850.0,1389512.0,15.354330708661418,
2020.01.21,12050.0,650.0,13000.0,13450.0,11750.0,708185.0,-5.394190871369295,
2020.01.22,12750.0,700.0,12800.0,14050.0,12150.0,1522049.0,5.490196078431373,
2020.01.23,13250.0,500.0,13300.0,14100.0,12650.0,1702483.0,3.7735849056603774,
2020.01.28,13800.0,550.0,14500.0,15200.0,13800.0,1628124.0,3.985507246376811,
2020.01.29,12350.0,1450.0,12950.0,13300.0,12150.0,603749.0,-11.740890688259109,
2020.01.30,12000.0,350.0,12450.0,12550.0,11550.0,304091.0,-2.9166666666666665,
2020.01.31,11250.0,750.0,12100.0,12200.0,11100.0,333917.0,-6.666666666666668,
2020.02.03,10750.0,500.0,10950.0,11250.0,10600.0,172115.0,-4.651162790697675,
2020.02.04,10700.0,50.0,10750.0,11100.0,10550.0,124199.0,-0.4672897196261682,
2020.02.05,10750.0,50.0,10700.0,10950.0,10650.0,81944.0,0.4651162790697674,
2020.02.06,11150.0,400.0,10800.0,11200.0,10750.0,71511.0,3.5874439461883414,
2020.02.07,10950.0,200.0,11100.0,11100.0,10750.0,45903.0,-1.8264840182648399,
2020.02.10,10700.0,250.0,11000.0,11000.0,10650.0,55431.0,-2.336448598130841,
2020.02.11,10700.0,0.0,10750.0,10800.0,10600.0,40620.0,0.0,
2020.02.12,10450.0,250.0,10700.0,10700.0,10400.0,70283.0,-2.392344497607656,
2020.02.13,10650.0,200.0,10450.0,10650.0,10300.0,37000.0,1.8779342723004693,
2020.02.14,10550.0,100.0,10550.0,10600.0,10350.0,33626.0,-0.9478672985781992,
2020.02.17,10600.0,50.0,10500.0,10600.0,10300.0,26589.0,0.4716981132075472,
2020.02.18,10600.0,0.0,10600.0,10700.0,10350.0,46002.0,0.0,
2020.02.19,10900.0,300.0,10600.0,11000.0,10500.0,87386.0,2.752293577981652,
2020.02.20,10800.0,100.0,10900.0,11450.0,10550.0,186076.0,-0.9259259259259258,
2020.02.21,12000.0,1200.0,11000.0,12950.0,10900.0,1375231.0,10.0,
2020.02.24,10550.0,1450.0,12000.0,12300.0,10550.0,385121.0,-13.744075829383887,
2020.02.25,10100.0,450.0,10500.0,10600.0,9890.0,235121.0,-4.455445544554455,
2020.02.26,10200.0,100.0,10100.0,10350.0,10000.0,102630.0,0.9803921568627452,
2020.02.27,10250.0,50.0,10200.0,10650.0,10050.0,130536.0,0.4878048780487805,
2020.02.28,9890.0,360.0,10300.0,10450.0,9870.0,91210.0,-3.6400404448938324,
2020.03.02,9750.0,140.0,9760.0,9960.0,9610.0,58582.0,-1.4358974358974361,
2020.03.03,9920.0,170.0,9810.0,10100.0,9770.0,43993.0,1.7137096774193548,
2020.03.04,10050.0,130.0,9910.0,10100.0,9810.0,17783.0,1.2935323383084576,
2020.03.05,10350.0,300.0,10100.0,10650.0,10000.0,121310.0,2.898550724637681,
2020.03.06,10150.0,200.0,10200.0,10550.0,10150.0,59005.0,-1.9704433497536944,
2020.03.09,11250.0,1100.0,10250.0,11250.0,10200.0,234870.0,9.777777777777779,
2020.03.10,10150.0,1100.0,10700.0,11100.0,10100.0,253300.0,-10.83743842364532,
2020.03.11,9830.0,320.0,10300.0,10350.0,9800.0,134664.0,-3.2553407934893186,
2020.03.12,9090.0,740.0,9620.0,9850.0,9090.0,81963.0,-8.14081408140814,
2020.03.13,7700.0,1390.0,8190.0,8640.0,7000.0,140249.0,-18.051948051948045,
2020.03.16,7600.0,100.0,7620.0,8000.0,7420.0,142053.0,-1.3157894736842104,
2020.03.17,7310.0,290.0,6990.0,7570.0,6990.0,77894.0,-3.967168262653898,
2020.03.18,7820.0,510.0,7320.0,9480.0,7320.0,464228.0,6.521739130434782,
2020.03.19,6750.0,1070.0,7820.0,8440.0,6750.0,158984.0,-15.851851851851851,
2020.03.20,6990.0,240.0,6750.0,7140.0,6720.0,89519.0,3.433476394849785,
2020.03.23,7150.0,160.0,6610.0,7880.0,6610.0,90086.0,2.2377622377622384,
2020.03.24,7680.0,530.0,7310.0,8170.0,7280.0,129246.0,6.901041666666668,
2020.03.25,8010.0,330.0,7860.0,8150.0,7740.0,75420.0,4.119850187265917,
2020.03.26,8230.0,220.0,8150.0,8560.0,8010.0,78817.0,2.67314702308627,
2020.03.27,8240.0,10.0,8440.0,8630.0,7850.0,64464.0,0.12135922330097085,
2020.03.30,8450.0,210.0,8200.0,8470.0,7530.0,49681.0,2.485207100591716,
2020.03.31,8910.0,460.0,8670.0,9050.0,8650.0,83958.0,5.16273849607183,
2020.04.01,8760.0,150.0,9050.0,9150.0,8750.0,54192.0,-1.7123287671232876,
2020.04.02,8820.0,60.0,8760.0,8970.0,8320.0,41499.0,0.6802721088435374,
2020.04.03,9120.0,300.0,8950.0,9200.0,8940.0,53204.0,3.2894736842105265,
2020.04.06,9920.0,800.0,9210.0,10450.0,9210.0,154112.0,8.064516129032258,
2020.04.07,10350.0,430.0,10100.0,10350.0,9660.0,107707.0,4.154589371980676,
2020.04.08,10300.0,50.0,10650.0,10650.0,10050.0,43696.0,-0.4854368932038834,
2020.04.09,10350.0,50.0,10350.0,10550.0,10200.0,39043.0,0.4830917874396135,
2020.04.10,10650.0,300.0,10400.0,10900.0,10150.0,90821.0,2.8169014084507045,
2020.04.13,10550.0,100.0,10650.0,11000.0,10450.0,69241.0,-0.9478672985781992,
2020.04.14,10550.0,0.0,10550.0,10700.0,10350.0,37082.0,0.0,
2020.04.16,10150.0,400.0,10450.0,10600.0,10000.0,48079.0,-3.940886699507389,
2020.04.17,10450.0,300.0,10250.0,10500.0,10150.0,28534.0,2.8708133971291865,
2020.04.20,10500.0,50.0,10450.0,10700.0,10300.0,36494.0,0.4761904761904762,
2020.04.21,10100.0,400.0,10450.0,10500.0,9730.0,77147.0,-3.96039603960396,
2020.04.22,10300.0,200.0,9870.0,10300.0,9870.0,21279.0,1.9417475728155336,
2020.04.23,10450.0,150.0,10300.0,10500.0,10150.0,26288.0,1.4354066985645932,
2020.04.24,10200.0,250.0,10450.0,10500.0,10100.0,23998.0,-2.4509803921568634,
2020.04.27,10300.0,100.0,10250.0,10400.0,10150.0,21986.0,0.9708737864077668,
2020.04.28,10700.0,400.0,10350.0,10750.0,10300.0,50474.0,3.738317757009345,
2020.04.29,10600.0,100.0,10600.0,10800.0,10500.0,16504.0,-0.9433962264150944,
2020.05.04,10350.0,250.0,10550.0,10600.0,10300.0,9315.0,-2.415458937198068,
2020.05.06,10400.0,50.0,10400.0,10500.0,10350.0,6403.0,0.4807692307692308,
2020.05.07,10500.0,100.0,10450.0,10500.0,10200.0,14520.0,0.9523809523809524,
2020.05.08,10550.0,50.0,10550.0,10600.0,10400.0,10075.0,0.4739336492890995,
2020.05.11,10850.0,300.0,10600.0,11400.0,10600.0,92010.0,2.7649769585253456,
2020.05.12,10600.0,250.0,10850.0,10850.0,10450.0,26885.0,-2.358490566037736,
2020.05.13,10500.0,100.0,10600.0,10650.0,10450.0,15546.0,-0.9523809523809524,
2020.05.14,9840.0,660.0,10450.0,10450.0,9800.0,119641.0,-6.707317073170732,
2020.05.15,10250.0,410.0,9920.0,10350.0,9880.0,38119.0,4.0,
2020.05.18,10150.0,100.0,10250.0,10350.0,10050.0,27142.0,-0.9852216748768472,
2020.05.19,10100.0,50.0,10150.0,10250.0,10000.0,15434.0,-0.4950495049504951,
2020.05.20,10100.0,0.0,10100.0,10200.0,10000.0,10531.0,0.0,
2020.05.21,10300.0,200.0,10150.0,10450.0,10100.0,20212.0,1.9417475728155336,
2020.05.22,10050.0,250.0,10350.0,10350.0,10000.0,17902.0,-2.4875621890547266,
2020.05.25,10050.0,0.0,10050.0,10100.0,9990.0,10469.0,0.0,
2020.05.26,10100.0,50.0,10050.0,10150.0,9970.0,13412.0,0.4950495049504951,
2020.05.27,10150.0,50.0,10150.0,10300.0,10050.0,12535.0,0.4926108374384237,
2020.05.28,10400.0,250.0,10150.0,10500.0,9860.0,45249.0,2.403846153846154,
2020.05.29,10100.0,300.0,10400.0,10500.0,10050.0,29267.0,-2.9702970297029703,
2020.06.01,10200.0,100.0,10000.0,10200.0,10000.0,18152.0,0.9803921568627452,
2020.06.02,10350.0,150.0,10200.0,10450.0,10150.0,23918.0,1.4492753623188406,
2020.06.03,10300.0,50.0,10300.0,10450.0,10200.0,31789.0,-0.4854368932038834,
2020.06.04,10400.0,100.0,10300.0,10500.0,10200.0,27776.0,0.9615384615384616,
2020.06.05,10600.0,200.0,10400.0,10600.0,10300.0,35883.0,1.8867924528301887,
2020.06.08,10700.0,100.0,10650.0,10950.0,10600.0,55333.0,0.9345794392523364,
2020.06.09,10700.0,0.0,10750.0,10750.0,10500.0,19236.0,0.0,
2020.06.10,11350.0,650.0,10700.0,11350.0,10600.0,85507.0,5.7268722466960345,
2020.06.11,10550.0,800.0,11350.0,11450.0,10500.0,85522.0,-7.582938388625592,
2020.06.12,10300.0,250.0,10100.0,10350.0,10000.0,75171.0,-2.4271844660194173,
2020.06.15,9930.0,370.0,10350.0,10500.0,9890.0,56999.0,-3.7260825780463236,
2020.06.16,10350.0,420.0,10100.0,10450.0,10100.0,17355.0,4.057971014492753,
2020.06.17,10600.0,250.0,10250.0,10700.0,10050.0,42463.0,2.358490566037736,
2020.06.18,10750.0,150.0,10600.0,11100.0,10550.0,56515.0,1.3953488372093024,
2020.06.19,10750.0,0.0,10800.0,10950.0,10400.0,38051.0,0.0,
2020.06.22,10700.0,50.0,10750.0,10900.0,10600.0,20424.0,-0.4672897196261682,
2020.06.23,10500.0,200.0,10700.0,10950.0,10400.0,33043.0,-1.9047619047619049,
2020.06.24,10500.0,0.0,10650.0,10650.0,10400.0,25738.0,0.0,
2020.06.25,10700.0,200.0,10500.0,11200.0,10350.0,85482.0,1.8691588785046729,
2020.06.26,10700.0,0.0,10800.0,10900.0,10600.0,28176.0,0.0,
2020.06.29,10200.0,500.0,10550.0,10650.0,10150.0,23516.0,-4.901960784313727,
2020.06.30,10400.0,200.0,10350.0,10500.0,10250.0,19275.0,1.9230769230769231,
2020.07.01,10250.0,150.0,10500.0,10650.0,10250.0,21474.0,-1.4634146341463417,
2020.07.02,10450.0,200.0,10300.0,10450.0,10250.0,18652.0,1.9138755980861244,
2020.07.03,10350.0,100.0,10450.0,10600.0,10250.0,18089.0,-0.966183574879227,
2020.07.06,10450.0,100.0,10350.0,10450.0,10300.0,17382.0,0.9569377990430622,
2020.07.07,10450.0,0.0,10450.0,10500.0,10350.0,10052.0,0.0,
2020.07.08,10400.0,50.0,10500.0,10550.0,10400.0,12547.0,-0.4807692307692308,
2020.07.09,10450.0,50.0,10500.0,10550.0,10300.0,13516.0,0.4784688995215311,
2020.07.10,10350.0,100.0,10450.0,10450.0,10250.0,16200.0,-0.966183574879227,
2020.07.13,10350.0,0.0,10400.0,10450.0,10250.0,11135.0,0.0,
2020.07.14,10250.0,100.0,10250.0,10400.0,10200.0,9347.0,-0.975609756097561,
2020.07.15,10300.0,50.0,10350.0,10350.0,10200.0,8065.0,0.4854368932038834,
