날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,8830.0,30.0,8940.0,8940.0,8760.0,6880.0,,
2020.01.02,8770.0,60.0,8810.0,8810.0,8700.0,12036.0,-0.6841505131128849,
2020.01.03,8730.0,40.0,8810.0,8820.0,8690.0,8934.0,-0.4581901489117984,
2020.01.06,8570.0,160.0,8620.0,8740.0,8510.0,11603.0,-1.8669778296382729,
2020.01.07,8590.0,20.0,8500.0,8670.0,8500.0,4414.0,0.2328288707799767,
2020.01.08,8200.0,390.0,8590.0,8590.0,8200.0,16653.0,-4.7560975609756095,
2020.01.09,8410.0,210.0,8370.0,8440.0,8320.0,9769.0,2.4970273483947683,
2020.01.10,8500.0,90.0,8600.0,8600.0,8430.0,4654.0,1.0588235294117647,
2020.01.13,8570.0,70.0,8500.0,8590.0,8440.0,9327.0,0.8168028004667445,
2020.01.14,8600.0,30.0,8560.0,8690.0,8560.0,6723.0,0.3488372093023256,
2020.01.15,8700.0,100.0,8600.0,8700.0,8570.0,10174.0,1.1494252873563218,
2020.01.16,8740.0,40.0,8750.0,8750.0,8690.0,13695.0,0.4576659038901602,
2020.01.17,8850.0,110.0,8740.0,8850.0,8730.0,10252.0,1.2429378531073447,
2020.01.20,8990.0,140.0,8850.0,9000.0,8850.0,26313.0,1.5572858731924362,
2020.01.21,9470.0,480.0,9050.0,9610.0,9030.0,270625.0,5.068637803590287,
2020.01.22,12300.0,2830.0,10400.0,12300.0,10300.0,7826491.0,23.008130081300806,
2020.01.23,11750.0,550.0,12350.0,13500.0,11450.0,7789560.0,-4.680851063829787,
2020.01.28,14050.0,2300.0,12900.0,14650.0,12850.0,6707453.0,16.370106761565836,
2020.01.29,12050.0,2000.0,12750.0,13450.0,11800.0,2395449.0,-16.59751037344398,
2020.01.30,11450.0,600.0,12250.0,12450.0,10950.0,1506745.0,-5.240174672489083,
2020.01.31,10700.0,750.0,11750.0,11900.0,10350.0,1409975.0,-7.009345794392522,
2020.02.03,9330.0,1370.0,10300.0,10550.0,9030.0,1024047.0,-14.683815648445876,
2020.02.04,9450.0,120.0,9340.0,9600.0,9150.0,433061.0,1.2698412698412698,
