날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,3375.0,20.0,3395.0,3410.0,3370.0,27147.0,,
2020.01.02,3430.0,55.0,3445.0,3450.0,3390.0,102594.0,1.6034985422740524,
2020.01.03,3495.0,65.0,3430.0,3505.0,3430.0,275211.0,1.8597997138769669,
2020.01.06,3475.0,20.0,3520.0,3590.0,3440.0,387021.0,-0.5755395683453237,
2020.01.07,3460.0,15.0,3480.0,3510.0,3425.0,167359.0,-0.4335260115606936,
2020.01.08,3310.0,150.0,3445.0,3455.0,3270.0,378157.0,-4.531722054380665,
2020.01.09,3490.0,180.0,3480.0,3520.0,3395.0,479778.0,5.1575931232091685,
2020.01.10,3490.0,0.0,3500.0,3500.0,3445.0,185411.0,0.0,
2020.01.13,3495.0,5.0,3520.0,3560.0,3450.0,257975.0,0.14306151645207438,
2020.01.14,3495.0,0.0,3520.0,3530.0,3480.0,109040.0,0.0,
2020.01.15,3525.0,30.0,3495.0,3550.0,3475.0,165346.0,0.851063829787234,
2020.01.16,3630.0,105.0,3535.0,3680.0,3510.0,802774.0,2.8925619834710745,
2020.01.17,3675.0,45.0,3670.0,3690.0,3595.0,498129.0,1.2244897959183674,
2020.01.20,4775.0,1100.0,3845.0,4775.0,3755.0,19219318.0,23.03664921465969,
2020.01.21,5850.0,1075.0,5420.0,6100.0,5050.0,47181505.0,18.37606837606838,
2020.01.22,5850.0,0.0,5890.0,5930.0,5500.0,15155849.0,0.0,
2020.01.23,5520.0,330.0,5680.0,6340.0,5510.0,19461085.0,-5.978260869565218,
2020.01.28,7170.0,1650.0,6910.0,7170.0,6910.0,4344003.0,23.01255230125523,
2020.01.29,7690.0,520.0,7040.0,8470.0,6620.0,27893272.0,6.762028608582575,
2020.01.30,7920.0,230.0,8150.0,8380.0,7360.0,16176034.0,2.904040404040404,
2020.01.31,9600.0,1680.0,8650.0,10100.0,8460.0,30554837.0,17.5,
2020.02.03,8150.0,1450.0,10000.0,11150.0,7330.0,22629143.0,-17.791411042944784,
2020.02.04,8500.0,350.0,8270.0,8930.0,7070.0,32208882.0,4.117647058823529,
2020.02.05,8770.0,270.0,8200.0,9840.0,8070.0,20889157.0,3.0786773090079818,
2020.02.06,8550.0,220.0,9490.0,9500.0,8060.0,9682788.0,-2.5730994152046787,
2020.02.07,8020.0,530.0,8320.0,8700.0,7600.0,6537486.0,-6.608478802992519,
2020.02.10,7100.0,920.0,8060.0,8100.0,7050.0,4590063.0,-12.957746478873238,
2020.02.11,6750.0,350.0,6960.0,7000.0,6350.0,7681041.0,-5.185185185185184,
2020.02.12,6100.0,650.0,6520.0,6670.0,5900.0,5310808.0,-10.655737704918034,
2020.02.13,6610.0,510.0,6380.0,7600.0,6030.0,36139741.0,7.7155824508320725,
2020.02.14,6900.0,290.0,6560.0,7550.0,6380.0,20684478.0,4.202898550724638,
2020.02.17,7260.0,360.0,7490.0,7880.0,7100.0,16895997.0,4.958677685950414,
2020.02.18,8810.0,1550.0,7020.0,9430.0,6910.0,56567167.0,17.593643586833142,
2020.02.19,11450.0,2640.0,8650.0,11450.0,8650.0,39272384.0,23.05676855895197,
2020.02.20,12300.0,850.0,12350.0,14250.0,11600.0,44345349.0,6.910569105691057,
2020.02.21,12150.0,150.0,13450.0,14350.0,11250.0,17055906.0,-1.2345679012345678,
2020.02.24,10150.0,2000.0,13200.0,13250.0,9830.0,8632393.0,-19.70443349753695,
2020.02.25,7980.0,2170.0,7150.0,11100.0,7150.0,23467342.0,-27.192982456140356,
2020.02.26,7530.0,450.0,7950.0,8590.0,6860.0,8770196.0,-5.9760956175298805,
2020.02.27,6480.0,1050.0,7560.0,7620.0,6320.0,5239695.0,-16.203703703703702,
2020.02.28,6600.0,120.0,6690.0,7350.0,6380.0,9929943.0,1.818181818181818,
2020.03.02,6210.0,390.0,6790.0,6930.0,6040.0,2985086.0,-6.280193236714977,
2020.03.03,6260.0,50.0,6240.0,6370.0,5810.0,3719843.0,0.7987220447284344,
2020.03.04,6320.0,60.0,6400.0,6510.0,6240.0,1815625.0,0.949367088607595,
2020.03.05,6010.0,310.0,6340.0,6340.0,5870.0,2288593.0,-5.158069883527454,
2020.03.06,6400.0,390.0,6020.0,7120.0,6020.0,10741440.0,6.09375,
2020.03.09,6260.0,140.0,6600.0,7360.0,6100.0,8847733.0,-2.2364217252396164,
2020.03.10,5820.0,440.0,6000.0,6680.0,5570.0,4075309.0,-7.560137457044673,
2020.03.11,5600.0,220.0,5960.0,5990.0,5430.0,2529569.0,-3.928571428571429,
2020.03.12,5400.0,200.0,5650.0,5800.0,5090.0,2620164.0,-3.7037037037037033,
2020.03.13,4700.0,700.0,4900.0,4990.0,4320.0,2038289.0,-14.893617021276595,
2020.03.16,4500.0,200.0,4795.0,5090.0,4500.0,1543348.0,-4.4444444444444455,
2020.03.17,4250.0,250.0,4120.0,4500.0,4100.0,1909373.0,-5.882352941176469,
2020.03.18,4970.0,720.0,4350.0,5340.0,4280.0,11291509.0,14.486921529175053,
2020.03.19,4270.0,700.0,5150.0,5500.0,4180.0,6606190.0,-16.393442622950822,
2020.03.20,4430.0,160.0,4390.0,4640.0,4295.0,2105890.0,3.6117381489841978,
2020.03.23,4135.0,295.0,4300.0,4600.0,4015.0,2215551.0,-7.134220072551392,
2020.03.24,4195.0,60.0,4195.0,4500.0,4080.0,2722793.0,1.4302741358760431,
2020.03.25,4480.0,285.0,4430.0,4780.0,4250.0,4170620.0,6.361607142857142,
2020.03.26,4820.0,340.0,4570.0,5120.0,4500.0,5890702.0,7.053941908713693,
2020.03.27,5300.0,480.0,5040.0,6050.0,4620.0,16947119.0,9.056603773584905,
2020.03.30,5920.0,620.0,5520.0,6300.0,5410.0,9747243.0,10.472972972972975,
2020.03.31,6030.0,110.0,6190.0,6460.0,5780.0,8853061.0,1.824212271973466,
2020.04.01,5740.0,290.0,6180.0,6510.0,5700.0,6398805.0,-5.052264808362369,
2020.04.02,6160.0,420.0,6330.0,6570.0,5940.0,5771454.0,6.8181818181818175,
2020.04.03,6180.0,20.0,6200.0,6220.0,5870.0,3227002.0,0.3236245954692557,
2020.04.06,6450.0,270.0,6210.0,6680.0,6090.0,9171046.0,4.186046511627906,
2020.04.07,6160.0,290.0,6480.0,6480.0,6080.0,3022298.0,-4.707792207792208,
2020.04.08,6150.0,10.0,6200.0,6510.0,6100.0,4655039.0,-0.16260162601626016,
2020.04.09,6280.0,130.0,6220.0,6370.0,6190.0,2515402.0,2.070063694267516,
2020.04.10,5700.0,580.0,6370.0,6370.0,5380.0,3056720.0,-10.175438596491228,
2020.04.13,5420.0,280.0,5680.0,5850.0,5400.0,1822663.0,-5.166051660516605,
2020.04.14,5680.0,260.0,5460.0,5820.0,5420.0,1938800.0,4.577464788732395,
2020.04.16,5700.0,20.0,5620.0,5780.0,5550.0,1116933.0,0.3508771929824561,
2020.04.17,5780.0,80.0,5740.0,5920.0,5670.0,1275611.0,1.3840830449826989,
2020.04.20,5870.0,90.0,5830.0,5930.0,5750.0,1151099.0,1.5332197614991483,
2020.04.21,5510.0,360.0,5890.0,5910.0,5200.0,1451793.0,-6.533575317604356,
2020.04.22,5640.0,130.0,5370.0,5730.0,5260.0,1276140.0,2.304964539007092,
2020.04.23,5820.0,180.0,5770.0,6040.0,5740.0,2359595.0,3.0927835051546397,
2020.04.24,5670.0,150.0,5850.0,6240.0,5630.0,3985683.0,-2.6455026455026456,
2020.04.27,5700.0,30.0,5750.0,5810.0,5640.0,742682.0,0.5263157894736842,
2020.04.28,5500.0,200.0,5710.0,5720.0,5430.0,823044.0,-3.636363636363636,
2020.04.29,5540.0,40.0,5500.0,5720.0,5410.0,835923.0,0.7220216606498195,
2020.05.04,5570.0,30.0,5520.0,5700.0,5410.0,626785.0,0.5385996409335727,
2020.05.06,5600.0,30.0,5610.0,5620.0,5530.0,377010.0,0.5357142857142857,
2020.05.07,5810.0,210.0,5630.0,5940.0,5560.0,1608273.0,3.6144578313253017,
2020.05.08,6100.0,290.0,5970.0,6170.0,5860.0,2419725.0,4.754098360655737,
2020.05.11,6360.0,260.0,6550.0,6610.0,6240.0,3726421.0,4.088050314465408,
2020.05.12,6270.0,90.0,6410.0,6460.0,6040.0,2164125.0,-1.4354066985645932,
