날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,3650.0,20.0,3630.0,3665.0,3615.0,220743.0,,
2020.01.02,3720.0,70.0,3665.0,3725.0,3660.0,497703.0,1.8817204301075268,
2020.01.03,3780.0,60.0,3730.0,3780.0,3700.0,827076.0,1.5873015873015872,
2020.01.06,3660.0,120.0,3755.0,3830.0,3630.0,893972.0,-3.278688524590164,
2020.01.07,3735.0,75.0,3680.0,3770.0,3670.0,607137.0,2.0080321285140563,
2020.01.08,3600.0,135.0,3735.0,3745.0,3470.0,1332478.0,-3.75,
2020.01.09,3725.0,125.0,3745.0,3810.0,3680.0,1272548.0,3.355704697986577,
2020.01.10,3770.0,45.0,3755.0,3790.0,3715.0,521356.0,1.1936339522546418,
2020.01.13,3810.0,40.0,3805.0,3825.0,3755.0,606087.0,1.0498687664041997,
2020.01.14,3785.0,25.0,3795.0,3810.0,3750.0,398055.0,-0.6605019815059445,
2020.01.15,3865.0,80.0,3790.0,3885.0,3775.0,614427.0,2.069857697283312,
2020.01.16,3930.0,65.0,3885.0,3980.0,3850.0,1421927.0,1.6539440203562341,
2020.01.17,3940.0,10.0,3940.0,4010.0,3880.0,727551.0,0.2538071065989848,
2020.01.20,4855.0,915.0,4075.0,4945.0,4070.0,38295242.0,18.84654994850669,
2020.01.21,4900.0,45.0,5140.0,5420.0,4680.0,41844520.0,0.9183673469387756,
2020.01.22,5030.0,130.0,5120.0,5190.0,4825.0,9910465.0,2.584493041749503,
2020.01.23,4775.0,255.0,4965.0,4965.0,4775.0,1964946.0,-5.340314136125655,
2020.01.28,6200.0,1425.0,5480.0,6200.0,5480.0,4827086.0,22.983870967741932,
2020.01.29,6020.0,180.0,5970.0,6020.0,5840.0,3911039.0,-2.990033222591362,
2020.01.30,6790.0,770.0,6700.0,7250.0,6360.0,32080509.0,11.340206185567009,
2020.01.31,8530.0,1740.0,7810.0,8820.0,7410.0,53702161.0,20.398593200468934,
2020.02.03,6600.0,1930.0,8300.0,9470.0,6030.0,47602484.0,-29.24242424242424,
2020.02.04,6370.0,230.0,6830.0,6940.0,5910.0,45042111.0,-3.6106750392464684,
2020.02.05,6740.0,370.0,6220.0,7390.0,6150.0,39407293.0,5.489614243323442,
2020.02.06,6240.0,500.0,6950.0,7030.0,6060.0,18954765.0,-8.012820512820513,
2020.02.07,5840.0,400.0,6170.0,6420.0,5690.0,13528946.0,-6.849315068493151,
2020.02.10,5560.0,280.0,5900.0,5960.0,5510.0,9653136.0,-5.035971223021583,
