날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,4400.0,120.0,4285.0,4415.0,4250.0,133175.0,,
2020.01.02,4495.0,95.0,4355.0,4680.0,4355.0,270043.0,2.113459399332592,
2020.01.03,5300.0,805.0,4485.0,5840.0,4485.0,9752715.0,15.188679245283014,
2020.01.06,5140.0,160.0,5240.0,5450.0,5100.0,1985164.0,-3.1128404669260696,
2020.01.07,4790.0,350.0,5230.0,5240.0,4765.0,1067034.0,-7.306889352818372,
2020.01.08,4525.0,265.0,4710.0,4905.0,4450.0,1597321.0,-5.856353591160221,
2020.01.09,4490.0,35.0,4800.0,4950.0,4475.0,1678120.0,-0.779510022271715,
2020.01.10,4570.0,80.0,4520.0,4605.0,4455.0,398668.0,1.7505470459518602,
2020.01.13,4530.0,40.0,4570.0,4665.0,4530.0,444834.0,-0.8830022075055187,
2020.01.14,4725.0,195.0,4560.0,5250.0,4530.0,4845948.0,4.126984126984127,
2020.01.15,4690.0,35.0,4685.0,4735.0,4595.0,410989.0,-0.7462686567164178,
2020.01.16,4680.0,10.0,4730.0,4850.0,4605.0,677309.0,-0.2136752136752137,
2020.01.17,5050.0,370.0,4715.0,5510.0,4715.0,7900991.0,7.326732673267326,
2020.01.20,6060.0,1010.0,5340.0,6420.0,5330.0,15786991.0,16.666666666666664,
2020.01.21,5620.0,440.0,6060.0,6500.0,5480.0,6316800.0,-7.829181494661921,
2020.01.22,5870.0,250.0,5800.0,6080.0,5550.0,2606390.0,4.258943781942079,
2020.01.23,7630.0,1760.0,5870.0,7630.0,5550.0,13494396.0,23.06684141546527,
2020.01.28,8650.0,1020.0,8530.0,9450.0,8210.0,12766787.0,11.791907514450864,
2020.01.29,7220.0,1430.0,7790.0,8050.0,7020.0,3353453.0,-19.806094182825483,
2020.01.30,6570.0,650.0,7390.0,7430.0,6300.0,3338596.0,-9.89345509893455,
2020.01.31,5780.0,790.0,6710.0,6720.0,5580.0,2218427.0,-13.667820069204154,
2020.02.03,4885.0,895.0,5700.0,5710.0,4735.0,1513453.0,-18.321392016376663,
2020.02.04,5080.0,195.0,4885.0,5120.0,4770.0,1004368.0,3.8385826771653546,
2020.02.05,5160.0,80.0,4990.0,5290.0,4900.0,1129011.0,1.5503875968992251,
2020.02.06,5140.0,20.0,5190.0,5240.0,4940.0,657313.0,-0.3891050583657588,
2020.02.07,5170.0,30.0,5120.0,5430.0,5010.0,891516.0,0.5802707930367506,
2020.02.10,4965.0,205.0,5130.0,5200.0,4960.0,364184.0,-4.1289023162134955,
2020.02.11,4675.0,290.0,4955.0,4965.0,4635.0,551570.0,-6.2032085561497325,
2020.02.12,4700.0,25.0,4610.0,4805.0,4610.0,326410.0,0.5319148936170213,
2020.02.13,4640.0,60.0,4705.0,4770.0,4580.0,426295.0,-1.293103448275862,
2020.02.14,4580.0,60.0,4650.0,4740.0,4555.0,254381.0,-1.310043668122271,
2020.02.17,4650.0,70.0,4580.0,4685.0,4555.0,208320.0,1.5053763440860215,
2020.02.18,4830.0,180.0,4665.0,5190.0,4655.0,2357238.0,3.7267080745341614,
2020.02.19,5280.0,450.0,4800.0,5410.0,4750.0,2578868.0,8.522727272727273,
2020.02.20,5510.0,230.0,5480.0,6440.0,5180.0,6888360.0,4.174228675136116,
2020.02.21,6160.0,650.0,6080.0,6230.0,5280.0,3943454.0,10.55194805194805,
2020.02.24,6670.0,510.0,6500.0,7700.0,5810.0,11650745.0,7.646176911544227,
2020.02.25,5350.0,1320.0,6170.0,6350.0,5200.0,2370583.0,-24.672897196261676,
2020.02.26,5460.0,110.0,5350.0,5970.0,5270.0,2731955.0,2.0146520146520146,
2020.02.27,5050.0,410.0,5490.0,5680.0,4895.0,1253174.0,-8.118811881188119,
