날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,24950.0,50.0,24700.0,25100.0,24700.0,19316.0,,
2020.01.02,24800.0,150.0,25000.0,25150.0,24700.0,31631.0,-0.6048387096774194,
2020.01.03,25000.0,200.0,25000.0,25150.0,24800.0,34409.0,0.8,
2020.01.06,24650.0,350.0,24900.0,24900.0,24400.0,48632.0,-1.4198782961460443,
2020.01.07,24700.0,50.0,24650.0,24850.0,24550.0,20866.0,0.20242914979757085,
2020.01.08,23800.0,900.0,24700.0,24700.0,23600.0,80828.0,-3.7815126050420167,
2020.01.09,23750.0,50.0,24050.0,24350.0,23650.0,51031.0,-0.21052631578947367,
2020.01.10,23800.0,50.0,24000.0,24300.0,23700.0,42669.0,0.21008403361344535,
2020.01.13,24200.0,400.0,23900.0,24450.0,23900.0,51990.0,1.6528925619834711,
2020.01.14,24100.0,100.0,24250.0,24550.0,24050.0,44667.0,-0.4149377593360996,
2020.01.15,24050.0,50.0,24100.0,24300.0,24050.0,34386.0,-0.2079002079002079,
2020.01.16,24250.0,200.0,24150.0,24300.0,23850.0,37534.0,0.8247422680412372,
2020.01.17,24200.0,50.0,24350.0,24350.0,24200.0,13644.0,-0.2066115702479339,
2020.01.20,25250.0,1050.0,24300.0,26100.0,24200.0,374654.0,4.158415841584159,
2020.01.21,24350.0,900.0,25550.0,25700.0,24350.0,186491.0,-3.6960985626283374,
2020.01.22,25250.0,900.0,24850.0,25850.0,24650.0,207884.0,3.564356435643564,
2020.01.23,25650.0,400.0,26000.0,26250.0,25100.0,231406.0,1.5594541910331383,
2020.01.28,26000.0,350.0,26550.0,27600.0,25400.0,550393.0,1.3461538461538465,
2020.01.29,25150.0,850.0,25800.0,25800.0,25100.0,178110.0,-3.37972166998012,
2020.01.30,25200.0,50.0,25300.0,25500.0,24750.0,133614.0,0.1984126984126984,
2020.01.31,23650.0,1550.0,25500.0,25550.0,23550.0,176730.0,-6.553911205073995,
2020.02.03,23850.0,200.0,23600.0,23850.0,22950.0,93864.0,0.8385744234800839,
2020.02.04,23700.0,150.0,23800.0,24050.0,23550.0,69359.0,-0.6329113924050633,
