날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,1355.0,5.0,1365.0,1400.0,1330.0,4683416.0,,
2020.01.02,1370.0,15.0,1360.0,1385.0,1335.0,4503160.0,1.094890510948905,
2020.01.03,1370.0,0.0,1375.0,1430.0,1360.0,6555894.0,0.0,
2020.01.06,1270.0,100.0,1330.0,1335.0,1270.0,4383454.0,-7.874015748031495,
2020.01.07,1295.0,25.0,1285.0,1315.0,1280.0,2118211.0,1.9305019305019304,
2020.01.08,1205.0,90.0,1270.0,1275.0,1175.0,4636336.0,-7.4688796680497935,
2020.01.09,1265.0,60.0,1250.0,1300.0,1245.0,3267129.0,4.743083003952568,
2020.01.10,1325.0,60.0,1275.0,1400.0,1275.0,10413474.0,4.528301886792453,
2020.01.13,1310.0,15.0,1310.0,1340.0,1300.0,2421383.0,-1.1450381679389312,
2020.01.14,1280.0,30.0,1310.0,1315.0,1280.0,2276708.0,-2.34375,
2020.01.15,1295.0,15.0,1370.0,1425.0,1290.0,9082776.0,1.1583011583011582,
2020.01.16,1395.0,100.0,1325.0,1515.0,1315.0,36427952.0,7.1684587813620055,
2020.01.17,1355.0,40.0,1390.0,1415.0,1330.0,7130940.0,-2.9520295202952034,
2020.01.20,1330.0,25.0,1370.0,1370.0,1310.0,3744826.0,-1.8796992481203008,
2020.01.21,1350.0,20.0,1365.0,1455.0,1345.0,15971772.0,1.4814814814814816,
2020.01.22,1440.0,90.0,1365.0,1490.0,1365.0,23151411.0,6.25,
2020.01.23,1460.0,20.0,1460.0,1500.0,1405.0,13075657.0,1.3698630136986298,
2020.01.28,1665.0,205.0,1525.0,1735.0,1475.0,60976419.0,12.312312312312311,
2020.01.29,1535.0,130.0,1665.0,1665.0,1500.0,13893189.0,-8.469055374592834,
2020.01.30,1450.0,85.0,1560.0,1565.0,1415.0,16340747.0,-5.862068965517241,
2020.01.31,1310.0,140.0,1460.0,1475.0,1310.0,9552827.0,-10.687022900763358,
2020.02.03,1255.0,55.0,1250.0,1300.0,1225.0,5859399.0,-4.382470119521913,
2020.02.04,1295.0,40.0,1255.0,1340.0,1255.0,5467436.0,3.088803088803089,
2020.02.05,1315.0,20.0,1310.0,1380.0,1300.0,6419632.0,1.520912547528517,
2020.02.06,1705.0,390.0,1325.0,1705.0,1325.0,65089687.0,22.87390029325513,
2020.02.07,1640.0,65.0,1935.0,1975.0,1600.0,123122098.0,-3.963414634146341,
2020.02.10,1615.0,25.0,1635.0,1670.0,1550.0,26792410.0,-1.547987616099071,
2020.02.11,1575.0,40.0,1630.0,1680.0,1555.0,22250346.0,-2.5396825396825395,
2020.02.12,1515.0,60.0,1555.0,1575.0,1490.0,9463263.0,-3.96039603960396,
2020.02.13,1510.0,5.0,1515.0,1650.0,1480.0,25907815.0,-0.3311258278145696,
2020.02.14,1520.0,10.0,1505.0,1565.0,1495.0,8374690.0,0.6578947368421052,
2020.02.17,1440.0,80.0,1520.0,1555.0,1375.0,10865828.0,-5.5555555555555545,
2020.02.18,1450.0,10.0,1460.0,1515.0,1425.0,6918078.0,0.6896551724137931,
2020.02.19,1500.0,50.0,1450.0,1525.0,1445.0,6944112.0,3.333333333333333,
2020.02.20,1490.0,10.0,1550.0,1600.0,1490.0,15998914.0,-0.6711409395973155,
2020.02.21,1445.0,45.0,1535.0,1555.0,1425.0,8673544.0,-3.1141868512110724,
2020.02.24,1475.0,30.0,1505.0,1650.0,1445.0,31818398.0,2.0338983050847457,
2020.02.25,1480.0,5.0,1475.0,1545.0,1440.0,7669184.0,0.33783783783783783,
2020.02.26,1460.0,20.0,1510.0,1525.0,1445.0,5902038.0,-1.3698630136986298,
2020.02.27,1500.0,40.0,1480.0,1625.0,1460.0,29659366.0,2.666666666666667,
2020.02.28,1535.0,35.0,1515.0,1555.0,1475.0,16697019.0,2.280130293159609,
2020.03.02,1535.0,0.0,1545.0,1580.0,1510.0,8362434.0,0.0,
2020.03.03,1600.0,65.0,1550.0,1600.0,1530.0,15382290.0,4.0625,
2020.03.04,1575.0,25.0,1610.0,1615.0,1550.0,8744604.0,-1.5873015873015872,
2020.03.05,1595.0,20.0,1590.0,1670.0,1550.0,19515461.0,1.2539184952978055,
2020.03.06,1570.0,25.0,1585.0,1590.0,1550.0,7610900.0,-1.5923566878980893,
2020.03.09,1460.0,110.0,1575.0,1580.0,1460.0,9779158.0,-7.534246575342466,
2020.03.10,1475.0,15.0,1400.0,1570.0,1375.0,13529922.0,1.0169491525423728,
2020.03.11,1485.0,10.0,1495.0,1640.0,1440.0,23547862.0,0.6734006734006733,
2020.03.12,1420.0,65.0,1490.0,1545.0,1405.0,8009758.0,-4.577464788732395,
2020.03.13,1270.0,150.0,1335.0,1410.0,1175.0,9407730.0,-11.811023622047243,
2020.03.16,1295.0,25.0,1310.0,1365.0,1280.0,5723700.0,1.9305019305019304,
2020.03.17,1300.0,5.0,1200.0,1335.0,1185.0,4852777.0,0.38461538461538464,
2020.03.18,1265.0,35.0,1350.0,1455.0,1265.0,11693658.0,-2.766798418972332,
2020.03.19,1125.0,140.0,1320.0,1340.0,1100.0,7959248.0,-12.444444444444445,
2020.03.20,1175.0,50.0,1160.0,1195.0,1135.0,4662940.0,4.25531914893617,
2020.03.23,1165.0,10.0,1115.0,1265.0,1100.0,9179931.0,-0.8583690987124464,
2020.03.24,1235.0,70.0,1215.0,1300.0,1185.0,8720994.0,5.668016194331983,
2020.03.25,1270.0,35.0,1295.0,1335.0,1250.0,8479680.0,2.755905511811024,
2020.03.26,1320.0,50.0,1330.0,1390.0,1295.0,16623436.0,3.787878787878788,
2020.03.27,1525.0,205.0,1450.0,1675.0,1310.0,62684188.0,13.442622950819672,
2020.03.30,1595.0,70.0,1510.0,1625.0,1450.0,21311521.0,4.38871473354232,
2020.03.31,1675.0,80.0,1750.0,1830.0,1635.0,41171669.0,4.776119402985075,
2020.04.01,1530.0,145.0,1690.0,1700.0,1520.0,14013712.0,-9.477124183006538,
2020.04.02,1575.0,45.0,1515.0,1620.0,1435.0,13327946.0,2.8571428571428568,
2020.04.03,1615.0,40.0,1585.0,1675.0,1560.0,14966601.0,2.476780185758514,
2020.04.06,1695.0,80.0,1635.0,1770.0,1630.0,26116200.0,4.71976401179941,
2020.04.07,1715.0,20.0,1725.0,1740.0,1615.0,18602119.0,1.1661807580174928,
2020.04.08,1680.0,35.0,1780.0,1795.0,1680.0,19178252.0,-2.083333333333333,
2020.04.09,1755.0,75.0,1715.0,1870.0,1700.0,35785807.0,4.2735042735042725,
2020.04.10,1660.0,95.0,1790.0,1805.0,1445.0,17018766.0,-5.7228915662650595,
2020.04.13,1615.0,45.0,1660.0,1680.0,1605.0,6444298.0,-2.786377708978328,
2020.04.14,1610.0,5.0,1630.0,1670.0,1570.0,6453961.0,-0.3105590062111801,
2020.04.16,1605.0,5.0,1590.0,1645.0,1555.0,5161893.0,-0.3115264797507788,
2020.04.17,1635.0,30.0,1690.0,1745.0,1615.0,12978051.0,1.834862385321101,
2020.04.20,1380.0,255.0,1255.0,1525.0,1255.0,57779191.0,-18.47826086956521,
