날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,9040.0,140.0,8900.0,9100.0,8900.0,32795.0,,
2020.01.02,9070.0,30.0,9050.0,9140.0,9000.0,38618.0,0.33076074972436603,
2020.01.03,9000.0,70.0,9070.0,9150.0,8950.0,36601.0,-0.7777777777777778,
2020.01.06,8590.0,410.0,8810.0,8860.0,8510.0,117968.0,-4.7729918509895235,
2020.01.07,8650.0,60.0,8610.0,8730.0,8610.0,26598.0,0.6936416184971098,
2020.01.08,8210.0,440.0,8630.0,8640.0,8030.0,104460.0,-5.35931790499391,
2020.01.09,8540.0,330.0,8500.0,8660.0,8330.0,56238.0,3.8641686182669783,
2020.01.10,8570.0,30.0,8600.0,8750.0,8550.0,28592.0,0.3500583430571762,
2020.01.13,8750.0,180.0,8540.0,8930.0,8540.0,47941.0,2.057142857142857,
2020.01.14,8880.0,130.0,8780.0,8960.0,8760.0,51329.0,1.463963963963964,
2020.01.15,8830.0,50.0,8900.0,8940.0,8800.0,22650.0,-0.5662514156285391,
2020.01.16,8930.0,100.0,8950.0,8980.0,8790.0,55678.0,1.1198208286674132,
2020.01.17,8950.0,20.0,8980.0,8980.0,8890.0,26157.0,0.223463687150838,
2020.01.20,8910.0,40.0,9000.0,9030.0,8800.0,39711.0,-0.4489337822671157,
2020.01.21,8790.0,120.0,8860.0,8940.0,8700.0,44081.0,-1.3651877133105803,
2020.01.22,8770.0,20.0,8720.0,8870.0,8700.0,37731.0,-0.2280501710376283,
2020.01.23,8670.0,100.0,8840.0,8840.0,8670.0,14916.0,-1.1534025374855823,
2020.01.28,8590.0,80.0,8670.0,8680.0,8110.0,81067.0,-0.9313154831199068,
2020.01.29,8500.0,90.0,8590.0,8590.0,8440.0,42564.0,-1.0588235294117647,
2020.01.30,8200.0,300.0,8540.0,8540.0,8150.0,76750.0,-3.658536585365853,
2020.01.31,8200.0,0.0,8200.0,8360.0,8090.0,75723.0,0.0,
2020.02.03,8060.0,140.0,8020.0,8800.0,8020.0,153383.0,-1.7369727047146404,
