날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,5350.0,60.0,5310.0,5410.0,5300.0,62655.0,,
2020.01.02,5390.0,40.0,5430.0,5430.0,5300.0,65560.0,0.7421150278293136,
2020.01.03,5350.0,40.0,5430.0,5430.0,5290.0,91649.0,-0.7476635514018692,
2020.01.06,5210.0,140.0,5300.0,5350.0,5190.0,71587.0,-2.687140115163148,
2020.01.07,5210.0,0.0,5230.0,5300.0,5200.0,51046.0,0.0,
2020.01.08,4970.0,240.0,5210.0,5210.0,4950.0,141779.0,-4.82897384305835,
2020.01.09,5120.0,150.0,5060.0,5240.0,5010.0,100344.0,2.9296875,
2020.01.10,5100.0,20.0,5190.0,5240.0,5050.0,82605.0,-0.392156862745098,
2020.01.13,5290.0,190.0,5070.0,5290.0,5070.0,62819.0,3.5916824196597354,
2020.01.14,5260.0,30.0,5280.0,5290.0,5150.0,113687.0,-0.5703422053231939,
2020.01.15,5170.0,90.0,5210.0,5300.0,5130.0,58970.0,-1.7408123791102514,
2020.01.16,5160.0,10.0,5170.0,5220.0,5090.0,77511.0,-0.1937984496124031,
2020.01.17,5180.0,20.0,5160.0,5210.0,5140.0,26621.0,0.3861003861003861,
2020.01.20,5090.0,90.0,5150.0,5190.0,5060.0,80405.0,-1.7681728880157166,
2020.01.21,5090.0,0.0,5040.0,5190.0,5040.0,81735.0,0.0,
2020.01.22,5120.0,30.0,5050.0,5120.0,5020.0,54490.0,0.5859375,
2020.01.23,5050.0,70.0,5130.0,5130.0,4995.0,61286.0,-1.3861386138613865,
2020.01.28,5570.0,520.0,5240.0,5760.0,5080.0,1483108.0,9.33572710951526,
2020.01.29,5600.0,30.0,5670.0,5900.0,5460.0,1433655.0,0.5357142857142857,
2020.01.30,6230.0,630.0,5690.0,6350.0,5250.0,6915875.0,10.112359550561797,
2020.01.31,5390.0,840.0,6020.0,6070.0,5260.0,2334886.0,-15.584415584415586,
2020.02.03,5080.0,310.0,5290.0,5320.0,4785.0,1059010.0,-6.102362204724409,
2020.02.04,5230.0,150.0,5090.0,5690.0,4995.0,1878777.0,2.8680688336520075,
2020.02.05,5370.0,140.0,5160.0,5610.0,5050.0,1283881.0,2.60707635009311,
2020.02.06,5620.0,250.0,5380.0,5620.0,5220.0,694075.0,4.448398576512456,
2020.02.07,5420.0,200.0,5600.0,5600.0,5370.0,557040.0,-3.690036900369003,
2020.02.10,5220.0,200.0,5420.0,5420.0,5220.0,260432.0,-3.8314176245210727,
2020.02.11,5140.0,80.0,5200.0,5290.0,5100.0,196003.0,-1.5564202334630348,
2020.02.12,5040.0,100.0,5140.0,5180.0,5030.0,271311.0,-1.9841269841269842,
2020.02.13,5050.0,10.0,5140.0,5140.0,5020.0,187187.0,0.19801980198019806,
2020.02.14,5010.0,40.0,5060.0,5100.0,4980.0,120654.0,-0.7984031936127743,
2020.02.17,4965.0,45.0,5010.0,5050.0,4950.0,154201.0,-0.906344410876133,
2020.02.18,5000.0,35.0,5000.0,5250.0,4955.0,395315.0,0.7000000000000001,
2020.02.19,5260.0,260.0,5010.0,5260.0,4975.0,446567.0,4.942965779467682,
2020.02.20,5120.0,140.0,5240.0,5480.0,5100.0,716507.0,-2.734375,
2020.02.21,4955.0,165.0,5200.0,5250.0,4955.0,289063.0,-3.3299697275479314,
2020.02.24,4960.0,5.0,5090.0,5420.0,4855.0,706241.0,0.10080645161290322,
2020.02.25,5000.0,40.0,4940.0,5170.0,4930.0,171474.0,0.8,
2020.02.26,5080.0,80.0,5000.0,5200.0,4955.0,258393.0,1.574803149606299,
2020.02.27,5550.0,470.0,5150.0,6070.0,5100.0,9579782.0,8.468468468468469,
2020.02.28,5500.0,50.0,6600.0,6640.0,5400.0,6851282.0,-0.9090909090909092,
2020.03.02,5700.0,200.0,5900.0,6300.0,5520.0,7928512.0,3.5087719298245608,
2020.03.03,5630.0,70.0,5650.0,5900.0,5410.0,2125487.0,-1.2433392539964476,
2020.03.04,5300.0,330.0,5610.0,5710.0,5300.0,1546755.0,-6.226415094339623,
2020.03.05,5680.0,380.0,5380.0,5980.0,5330.0,5023980.0,6.690140845070423,
2020.03.06,6150.0,470.0,6000.0,6640.0,5800.0,27901901.0,7.642276422764227,
