날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,5250.0,0.0,5300.0,5300.0,5190.0,183996.0,,
2020.01.02,5270.0,20.0,5250.0,5290.0,5170.0,168885.0,0.3795066413662239,
2020.01.03,5240.0,30.0,5250.0,5290.0,5200.0,112407.0,-0.5725190839694656,
2020.01.06,5040.0,200.0,5190.0,5190.0,5030.0,194242.0,-3.9682539682539684,
2020.01.07,5170.0,130.0,5040.0,5180.0,5040.0,136149.0,2.5145067698259185,
2020.01.08,4975.0,195.0,5080.0,5130.0,4940.0,267992.0,-3.9195979899497484,
2020.01.09,5050.0,75.0,5070.0,5130.0,5000.0,124930.0,1.4851485148514851,
2020.01.10,5100.0,50.0,5060.0,5110.0,5000.0,128970.0,0.9803921568627452,
2020.01.13,4880.0,220.0,4630.0,4890.0,4610.0,581308.0,-4.508196721311474,
2020.01.14,4610.0,270.0,4875.0,4875.0,4600.0,658672.0,-5.856832971800434,
2020.01.15,4670.0,60.0,4545.0,4690.0,4530.0,167529.0,1.284796573875803,
2020.01.16,4680.0,10.0,4680.0,4735.0,4645.0,125797.0,0.2136752136752137,
2020.01.17,4550.0,130.0,4700.0,4700.0,4545.0,260788.0,-2.8571428571428568,
2020.01.20,4400.0,150.0,4550.0,4570.0,4380.0,308242.0,-3.4090909090909087,
2020.01.21,4490.0,90.0,4440.0,4675.0,4380.0,348220.0,2.0044543429844097,
2020.01.22,4800.0,310.0,4620.0,4980.0,4560.0,1643446.0,6.458333333333334,
2020.01.23,5200.0,400.0,4970.0,5400.0,4850.0,2806083.0,7.6923076923076925,
2020.01.28,6760.0,1560.0,5910.0,6760.0,5750.0,5593098.0,23.07692307692308,
2020.01.29,6530.0,230.0,6180.0,6930.0,5570.0,3744351.0,-3.5222052067381315,
2020.01.30,6060.0,470.0,6680.0,6840.0,6020.0,1886288.0,-7.755775577557754,
2020.01.31,5820.0,240.0,6260.0,6450.0,5580.0,2833589.0,-4.123711340206185,
2020.02.03,4975.0,845.0,5730.0,5800.0,4900.0,1343560.0,-16.984924623115578,
2020.02.04,5160.0,185.0,4990.0,5170.0,4950.0,578230.0,3.585271317829457,
2020.02.05,5190.0,30.0,5180.0,5340.0,5070.0,580064.0,0.5780346820809248,
