날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,52800.0,2200.0,50900.0,52800.0,49950.0,124401.0,,
2020.01.02,52300.0,500.0,52800.0,52800.0,50800.0,93050.0,-0.9560229445506692,
2020.01.03,50300.0,2000.0,52100.0,52800.0,50100.0,94458.0,-3.9761431411530817,
2020.01.06,49700.0,600.0,50300.0,51300.0,49700.0,56064.0,-1.2072434607645874,
2020.01.07,50000.0,300.0,49900.0,50600.0,49500.0,53943.0,0.6,
2020.01.08,47850.0,2150.0,49750.0,49750.0,47850.0,89546.0,-4.493207941483804,
2020.01.09,49250.0,1400.0,49050.0,49400.0,48300.0,62121.0,2.842639593908629,
2020.01.10,49700.0,450.0,49250.0,49700.0,48550.0,51881.0,0.9054325955734408,
2020.01.13,49000.0,700.0,50100.0,50100.0,48750.0,36200.0,-1.4285714285714286,
2020.01.14,48000.0,1000.0,49300.0,49550.0,48000.0,57696.0,-2.083333333333333,
2020.01.15,47500.0,500.0,48050.0,48400.0,47450.0,51781.0,-1.0526315789473684,
2020.01.16,47100.0,400.0,47500.0,48500.0,46800.0,59879.0,-0.8492569002123143,
2020.01.17,46550.0,550.0,46800.0,47450.0,46250.0,52048.0,-1.1815252416756177,
2020.01.20,47200.0,650.0,47000.0,47550.0,46100.0,54028.0,1.3771186440677965,
2020.01.21,45000.0,2200.0,46800.0,47400.0,44700.0,79407.0,-4.888888888888889,
2020.01.22,46300.0,1300.0,45450.0,46350.0,44500.0,39519.0,2.8077753779697625,
2020.01.23,44350.0,1950.0,45900.0,46300.0,43950.0,79492.0,-4.3968432919954905,
2020.01.28,43450.0,900.0,43500.0,43950.0,42500.0,50496.0,-2.0713463751438432,
2020.01.29,44350.0,900.0,43550.0,44650.0,43550.0,38491.0,2.0293122886133035,
2020.01.30,43000.0,1350.0,44000.0,44500.0,43000.0,70772.0,-3.1395348837209305,
2020.01.31,42200.0,800.0,43650.0,44350.0,41900.0,87127.0,-1.895734597156398,
2020.02.03,42050.0,150.0,41200.0,43000.0,41100.0,64119.0,-0.35671819262782395,
2020.02.04,43450.0,1400.0,42050.0,43500.0,41800.0,55042.0,3.222094361334868,
2020.02.05,42900.0,550.0,43500.0,44050.0,42550.0,40728.0,-1.282051282051282,
2020.02.06,44350.0,1450.0,43050.0,44800.0,43050.0,73958.0,3.2694475760992114,
2020.02.07,44400.0,50.0,44350.0,44800.0,43600.0,36068.0,0.1126126126126126,
2020.02.10,43950.0,450.0,43750.0,44450.0,43550.0,31306.0,-1.023890784982935,
2020.02.11,44450.0,500.0,44100.0,45200.0,44050.0,38384.0,1.124859392575928,
2020.02.12,43800.0,650.0,44200.0,44250.0,43550.0,45322.0,-1.4840182648401825,
2020.02.13,46250.0,2450.0,43700.0,46600.0,43200.0,119283.0,5.297297297297297,
2020.02.14,47500.0,1250.0,46200.0,48150.0,45350.0,116999.0,2.631578947368421,
2020.02.17,50300.0,2800.0,47550.0,50400.0,47550.0,151495.0,5.566600397614313,
2020.02.18,48950.0,1350.0,50500.0,50500.0,48500.0,97847.0,-2.7579162410623086,
2020.02.19,48800.0,150.0,48950.0,49600.0,47800.0,59415.0,-0.3073770491803279,
2020.02.20,47400.0,1400.0,49000.0,49000.0,47050.0,48701.0,-2.9535864978902957,
2020.02.21,46650.0,750.0,46200.0,48000.0,46100.0,40872.0,-1.6077170418006432,
2020.02.24,45500.0,1150.0,46200.0,46900.0,44550.0,64107.0,-2.527472527472528,
2020.02.25,47500.0,2000.0,45500.0,47600.0,44700.0,69290.0,4.2105263157894735,
2020.02.26,46850.0,650.0,47500.0,47650.0,45200.0,66829.0,-1.3874066168623265,
