날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,14550.0,200.0,14400.0,14600.0,14350.0,17967.0,,
2020.01.02,15350.0,800.0,15500.0,15750.0,15050.0,166618.0,5.211726384364821,
2020.01.03,15150.0,200.0,15200.0,15450.0,14850.0,56001.0,-1.32013201320132,
2020.01.06,15150.0,0.0,15150.0,15300.0,14900.0,22748.0,0.0,
2020.01.07,15250.0,100.0,15100.0,15300.0,14900.0,25627.0,0.6557377049180327,
2020.01.08,14200.0,1050.0,15000.0,15100.0,14200.0,72561.0,-7.394366197183097,
2020.01.09,15000.0,800.0,14550.0,15050.0,14450.0,51209.0,5.333333333333334,
2020.01.10,15250.0,250.0,15000.0,15700.0,14850.0,88463.0,1.639344262295082,
2020.01.13,15400.0,150.0,15600.0,15800.0,15350.0,83208.0,0.9740259740259741,
2020.01.14,15850.0,450.0,15500.0,15950.0,15350.0,62540.0,2.8391167192429023,
2020.01.15,15650.0,200.0,16100.0,16300.0,15550.0,70897.0,-1.2779552715654952,
2020.01.16,15650.0,0.0,15600.0,15800.0,15350.0,45715.0,0.0,
2020.01.17,15550.0,100.0,15800.0,15800.0,15400.0,33374.0,-0.6430868167202572,
2020.01.20,15450.0,100.0,15550.0,16100.0,15350.0,52541.0,-0.6472491909385114,
2020.01.21,15300.0,150.0,15400.0,15550.0,15050.0,23891.0,-0.9803921568627452,
2020.01.22,15450.0,150.0,15200.0,15600.0,15200.0,18346.0,0.9708737864077668,
2020.01.23,15400.0,50.0,15550.0,15750.0,15250.0,27261.0,-0.3246753246753247,
2020.01.28,14950.0,450.0,14950.0,15300.0,14700.0,40971.0,-3.0100334448160537,
2020.01.29,16700.0,1750.0,15200.0,17100.0,15150.0,462230.0,10.479041916167665,
2020.01.30,16750.0,50.0,17100.0,17550.0,16050.0,418492.0,0.2985074626865672,
2020.01.31,16000.0,750.0,18000.0,18050.0,15800.0,193508.0,-4.6875,
2020.02.03,15550.0,450.0,15400.0,15900.0,14900.0,125483.0,-2.893890675241157,
2020.02.04,15500.0,50.0,15600.0,15950.0,15400.0,55437.0,-0.3225806451612903,
2020.02.05,15500.0,0.0,15750.0,15900.0,15300.0,30948.0,0.0,
2020.02.06,15800.0,300.0,15550.0,16050.0,15500.0,58914.0,1.89873417721519,
2020.02.07,15400.0,400.0,16000.0,16000.0,15350.0,36337.0,-2.5974025974025974,
2020.02.10,15600.0,200.0,15400.0,15750.0,15200.0,49136.0,1.282051282051282,
2020.02.11,15300.0,300.0,15600.0,15800.0,15300.0,50489.0,-1.96078431372549,
2020.02.12,15450.0,150.0,15300.0,15550.0,15250.0,29077.0,0.9708737864077668,
2020.02.13,15300.0,150.0,15550.0,15600.0,15300.0,29120.0,-0.9803921568627452,
2020.02.14,15250.0,50.0,15400.0,15650.0,15250.0,27236.0,-0.3278688524590164,
2020.02.17,15250.0,0.0,15300.0,15350.0,15150.0,18840.0,0.0,
2020.02.18,15000.0,250.0,15300.0,15350.0,15000.0,17894.0,-1.6666666666666667,
2020.02.19,15100.0,100.0,15000.0,15150.0,14850.0,13104.0,0.6622516556291391,
2020.02.20,14850.0,250.0,15000.0,15250.0,14850.0,14990.0,-1.6835016835016834,
2020.02.21,14350.0,500.0,14600.0,15000.0,14300.0,31101.0,-3.484320557491289,
2020.02.24,13400.0,950.0,14050.0,14300.0,13300.0,39378.0,-7.08955223880597,
2020.02.25,13850.0,450.0,13500.0,14050.0,13400.0,27771.0,3.2490974729241877,
2020.02.26,16800.0,2950.0,14000.0,17500.0,14000.0,903965.0,17.559523809523807,
2020.02.27,16450.0,350.0,17350.0,17400.0,15950.0,237252.0,-2.127659574468085,
2020.02.28,17800.0,1350.0,16000.0,18000.0,15900.0,283578.0,7.584269662921349,
2020.03.02,16600.0,1200.0,17800.0,18300.0,16100.0,221961.0,-7.2289156626506035,
2020.03.03,16300.0,300.0,16750.0,17200.0,16200.0,134459.0,-1.8404907975460123,
2020.03.04,16500.0,200.0,16750.0,17000.0,16100.0,137411.0,1.2121212121212122,
2020.03.05,16850.0,350.0,16700.0,16850.0,16300.0,76901.0,2.0771513353115725,
2020.03.06,18700.0,1850.0,16600.0,18700.0,16500.0,394715.0,9.893048128342247,
2020.03.09,17700.0,1000.0,18400.0,19450.0,17050.0,490167.0,-5.649717514124294,
2020.03.10,16500.0,1200.0,16850.0,17200.0,16100.0,227078.0,-7.272727272727272,
2020.03.11,16400.0,100.0,16500.0,18400.0,15600.0,609110.0,-0.6097560975609756,
2020.03.12,14250.0,2150.0,16400.0,16400.0,14250.0,208067.0,-15.087719298245613,
2020.03.13,12000.0,2250.0,12600.0,12750.0,10600.0,244376.0,-18.75,
2020.03.16,11200.0,800.0,12400.0,13500.0,11200.0,230164.0,-7.142857142857142,
2020.03.17,11600.0,400.0,10100.0,11600.0,10100.0,89801.0,3.4482758620689653,
2020.03.18,11400.0,200.0,11600.0,12550.0,11100.0,145673.0,-1.7543859649122806,
2020.03.19,9120.0,2280.0,11500.0,11800.0,9120.0,159882.0,-25.0,
2020.03.20,9490.0,370.0,9140.0,9700.0,9140.0,70762.0,3.898840885142256,
2020.03.23,9070.0,420.0,8880.0,9190.0,8730.0,79722.0,-4.630650496141125,
2020.03.24,9430.0,360.0,9100.0,9790.0,9070.0,62836.0,3.817603393425239,
2020.03.25,10500.0,1070.0,9900.0,10800.0,9650.0,133095.0,10.19047619047619,
2020.03.26,10750.0,250.0,10700.0,11650.0,10500.0,142423.0,2.3255813953488373,
2020.03.27,13950.0,3200.0,11250.0,13950.0,11150.0,656392.0,22.939068100358423,
2020.03.30,14550.0,600.0,15100.0,15600.0,13750.0,478104.0,4.123711340206185,
2020.03.31,14350.0,200.0,15000.0,15150.0,13800.0,207193.0,-1.3937282229965158,
2020.04.01,18200.0,3850.0,14400.0,18200.0,13850.0,700995.0,21.153846153846157,
2020.04.02,16750.0,1450.0,17850.0,17850.0,16050.0,259874.0,-8.656716417910449,
2020.04.03,16450.0,300.0,16750.0,17350.0,16150.0,107074.0,-1.8237082066869301,
2020.04.06,16600.0,150.0,16700.0,17200.0,16200.0,100896.0,0.9036144578313252,
2020.04.07,15900.0,700.0,16950.0,16950.0,15300.0,142216.0,-4.402515723270441,
2020.04.08,16050.0,150.0,16200.0,17350.0,15250.0,179864.0,0.9345794392523364,
2020.04.09,18050.0,2000.0,16600.0,18050.0,16100.0,239693.0,11.080332409972296,
2020.04.10,17500.0,550.0,18000.0,18000.0,16450.0,217257.0,-3.1428571428571432,
2020.04.13,15950.0,1550.0,16900.0,17200.0,15950.0,78023.0,-9.717868338557992,
2020.04.14,15350.0,600.0,16250.0,16250.0,15150.0,74694.0,-3.908794788273615,
2020.04.16,15650.0,300.0,15600.0,16200.0,15100.0,50274.0,1.9169329073482428,
2020.04.17,15700.0,50.0,15850.0,16150.0,15300.0,39646.0,0.3184713375796179,
2020.04.20,16050.0,350.0,16000.0,16350.0,15250.0,45034.0,2.1806853582554515,
2020.04.21,15700.0,350.0,15900.0,16300.0,15100.0,57374.0,-2.2292993630573252,
2020.04.22,16750.0,1050.0,15700.0,18400.0,15400.0,508521.0,6.26865671641791,
2020.04.23,17400.0,650.0,17550.0,17600.0,17000.0,126191.0,3.7356321839080464,
2020.04.24,19150.0,1750.0,18000.0,20050.0,17500.0,767577.0,9.138381201044384,
2020.04.27,19100.0,50.0,19000.0,19500.0,18800.0,175080.0,-0.2617801047120419,
2020.04.28,19800.0,700.0,19250.0,19850.0,18800.0,295384.0,3.5353535353535355,
2020.04.29,18350.0,1450.0,19600.0,19800.0,18350.0,134390.0,-7.901907356948229,
2020.05.04,19800.0,1450.0,17950.0,19900.0,17500.0,154315.0,7.3232323232323235,
2020.05.06,19600.0,200.0,20000.0,20450.0,19350.0,143081.0,-1.020408163265306,
2020.05.07,20900.0,1300.0,19900.0,21000.0,18900.0,237155.0,6.2200956937799035,
2020.05.08,20250.0,650.0,21100.0,21600.0,20250.0,121248.0,-3.2098765432098766,
2020.05.11,20200.0,50.0,20250.0,20900.0,19950.0,100247.0,-0.2475247524752475,
