날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,24800.0,350.0,24450.0,24850.0,24450.0,65192.0,,
2020.01.02,25100.0,300.0,25500.0,26200.0,25000.0,219392.0,1.195219123505976,
2020.01.03,25050.0,50.0,25100.0,25400.0,24700.0,82588.0,-0.1996007984031936,
2020.01.06,25100.0,50.0,24500.0,25300.0,24500.0,90393.0,0.199203187250996,
2020.01.07,25050.0,50.0,25300.0,25400.0,24900.0,82445.0,-0.1996007984031936,
2020.01.08,24600.0,450.0,24750.0,25350.0,24200.0,92958.0,-1.829268292682927,
2020.01.09,25000.0,400.0,25100.0,25450.0,24700.0,103621.0,1.6,
2020.01.10,25800.0,800.0,25600.0,26650.0,25400.0,216625.0,3.1007751937984502,
2020.01.13,25650.0,150.0,25850.0,25900.0,25300.0,75541.0,-0.5847953216374269,
2020.01.14,25050.0,600.0,25650.0,25750.0,24700.0,113761.0,-2.395209580838324,
2020.01.15,24700.0,350.0,25100.0,25300.0,24650.0,60193.0,-1.4170040485829958,
2020.01.16,25000.0,300.0,24750.0,25100.0,24700.0,49301.0,1.2,
2020.01.17,25000.0,0.0,25050.0,25050.0,24600.0,53624.0,0.0,
2020.01.20,24950.0,50.0,25100.0,25200.0,24700.0,51601.0,-0.2004008016032064,
2020.01.21,24450.0,500.0,24800.0,25000.0,24450.0,51049.0,-2.044989775051125,
2020.01.22,24550.0,100.0,24300.0,24700.0,24250.0,39431.0,0.40733197556008144,
2020.01.23,24150.0,400.0,24400.0,24500.0,23950.0,69184.0,-1.6563146997929608,
2020.01.28,24150.0,0.0,23600.0,25500.0,23450.0,265875.0,0.0,
2020.01.29,24700.0,550.0,24700.0,25150.0,24150.0,116982.0,2.2267206477732797,
2020.01.30,24000.0,700.0,24750.0,25200.0,23500.0,104414.0,-2.9166666666666665,
2020.01.31,22800.0,1200.0,24050.0,24200.0,22650.0,105858.0,-5.263157894736842,
2020.02.03,22600.0,200.0,22000.0,22800.0,21900.0,75336.0,-0.8849557522123894,
2020.02.04,23200.0,600.0,22800.0,23300.0,22750.0,38321.0,2.586206896551724,
2020.02.05,23400.0,200.0,23500.0,23900.0,23150.0,49593.0,0.8547008547008548,
2020.02.06,23700.0,300.0,23400.0,23800.0,23400.0,37187.0,1.2658227848101269,
2020.02.07,23750.0,50.0,23800.0,24050.0,23450.0,31878.0,0.21052631578947367,
2020.02.10,23800.0,50.0,23800.0,23900.0,23450.0,22201.0,0.21008403361344535,
2020.02.11,23700.0,100.0,24000.0,24050.0,23600.0,27395.0,-0.42194092827004215,
2020.02.12,23500.0,200.0,23600.0,23850.0,23300.0,44249.0,-0.851063829787234,
2020.02.13,23450.0,50.0,23500.0,23750.0,23300.0,30164.0,-0.2132196162046908,
2020.02.14,23300.0,150.0,23300.0,23550.0,23000.0,42252.0,-0.6437768240343348,
2020.02.17,23300.0,0.0,23350.0,23700.0,22700.0,60114.0,0.0,
2020.02.18,23450.0,150.0,23400.0,24150.0,23150.0,118865.0,0.6396588486140725,
2020.02.19,24200.0,750.0,23450.0,24850.0,23200.0,295300.0,3.0991735537190084,
2020.02.20,24200.0,0.0,24450.0,24500.0,23800.0,104847.0,0.0,
2020.02.21,24200.0,0.0,25100.0,25700.0,24000.0,167428.0,0.0,
2020.02.24,22600.0,1600.0,23900.0,24000.0,22350.0,136162.0,-7.079646017699115,
2020.02.25,22750.0,150.0,22300.0,22800.0,22000.0,90554.0,0.6593406593406593,
2020.02.26,22500.0,250.0,22650.0,22750.0,22050.0,48449.0,-1.1111111111111112,
2020.02.27,23800.0,1300.0,22750.0,25850.0,22550.0,794730.0,5.46218487394958,
2020.02.28,24700.0,900.0,23500.0,25350.0,21900.0,1123052.0,3.643724696356275,
2020.03.02,24700.0,0.0,26450.0,27100.0,24500.0,1051083.0,0.0,
2020.03.03,30300.0,5600.0,24650.0,32000.0,24350.0,4778408.0,18.48184818481848,
2020.03.04,30150.0,150.0,29700.0,32900.0,28800.0,3861092.0,-0.4975124378109453,
2020.03.05,28400.0,1750.0,30200.0,31950.0,28250.0,2300225.0,-6.161971830985916,
2020.03.06,30500.0,2100.0,28400.0,30500.0,28250.0,1572160.0,6.885245901639345,
2020.03.09,36500.0,6000.0,31900.0,39400.0,30550.0,10126091.0,16.43835616438356,
2020.03.10,30900.0,5600.0,33900.0,35350.0,29600.0,2843345.0,-18.12297734627832,
2020.03.11,40150.0,9250.0,35000.0,40150.0,33400.0,12120562.0,23.038605230386054,
2020.03.12,37900.0,2250.0,38750.0,41700.0,36200.0,5095881.0,-5.936675461741425,
2020.03.13,34800.0,3100.0,35000.0,42400.0,30100.0,5898604.0,-8.908045977011495,
2020.03.16,34700.0,100.0,35450.0,39200.0,34550.0,3360633.0,-0.2881844380403458,
2020.03.17,36500.0,1800.0,32000.0,40900.0,32000.0,6306740.0,4.931506849315068,
2020.03.18,33450.0,3050.0,37500.0,39700.0,32900.0,3471168.0,-9.118086696562033,
2020.03.19,38000.0,4550.0,36750.0,42700.0,33200.0,10544156.0,11.973684210526313,
2020.03.20,36750.0,1250.0,36000.0,38600.0,35100.0,2728475.0,-3.4013605442176877,
2020.03.23,31650.0,5100.0,36850.0,37700.0,31200.0,2627791.0,-16.113744075829384,
2020.03.24,30250.0,1400.0,31200.0,32550.0,29350.0,2509771.0,-4.628099173553719,
2020.03.25,31750.0,1500.0,30850.0,33100.0,29500.0,2254999.0,4.724409448818896,
2020.03.26,41250.0,9500.0,39000.0,41250.0,36350.0,5763151.0,23.03030303030303,
2020.03.27,38900.0,2350.0,37900.0,49200.0,34850.0,11321784.0,-6.041131105398457,
2020.03.30,40400.0,1500.0,40050.0,40800.0,37500.0,2019962.0,3.7128712871287126,
2020.03.31,41150.0,750.0,42500.0,48800.0,39300.0,4131572.0,1.8226002430133657,
2020.04.01,38700.0,2450.0,41700.0,41800.0,36100.0,1903235.0,-6.330749354005167,
2020.04.02,38150.0,550.0,39000.0,39500.0,36800.0,671218.0,-1.4416775884665791,
2020.04.03,38300.0,150.0,38450.0,39000.0,36850.0,751936.0,0.391644908616188,
2020.04.06,39100.0,800.0,38550.0,39600.0,37750.0,727697.0,2.0460358056265986,
2020.04.07,37100.0,2000.0,39300.0,39300.0,36650.0,702226.0,-5.3908355795148255,
2020.04.08,37750.0,650.0,37600.0,38750.0,36700.0,824703.0,1.7218543046357615,
2020.04.09,38450.0,700.0,40600.0,41300.0,38050.0,1148386.0,1.820546163849155,
2020.04.10,37750.0,700.0,39500.0,40300.0,37250.0,1177814.0,-1.854304635761589,
2020.04.13,38500.0,750.0,39900.0,43100.0,37450.0,2852130.0,1.9480519480519483,
2020.04.14,36900.0,1600.0,38200.0,38450.0,36500.0,844155.0,-4.336043360433604,
2020.04.16,34500.0,2400.0,36900.0,37400.0,34100.0,766277.0,-6.956521739130435,
2020.04.17,36250.0,1750.0,39350.0,39400.0,35900.0,1177871.0,4.827586206896552,
2020.04.20,37200.0,950.0,36250.0,39750.0,35800.0,1473284.0,2.553763440860215,
2020.04.21,34900.0,2300.0,37200.0,37200.0,33600.0,792561.0,-6.59025787965616,
2020.04.22,35100.0,200.0,34100.0,35350.0,34050.0,263579.0,0.5698005698005698,
2020.04.23,35300.0,200.0,35100.0,35700.0,34850.0,249424.0,0.56657223796034,
2020.04.24,34400.0,900.0,35000.0,35850.0,34250.0,262495.0,-2.6162790697674416,
2020.04.27,35000.0,600.0,34750.0,35500.0,34550.0,186117.0,1.7142857142857144,
2020.04.28,34150.0,850.0,34700.0,35100.0,33950.0,199087.0,-2.489019033674964,
2020.04.29,34650.0,500.0,34300.0,34900.0,33100.0,249806.0,1.443001443001443,
2020.05.04,34750.0,100.0,34700.0,35650.0,34350.0,192486.0,0.28776978417266186,
2020.05.06,34900.0,150.0,35050.0,35300.0,34300.0,155034.0,0.4297994269340975,
2020.05.07,35350.0,450.0,34650.0,36000.0,33900.0,556552.0,1.272984441301273,
2020.05.08,35000.0,350.0,36350.0,36900.0,34850.0,571921.0,-1.0,
2020.05.11,34700.0,300.0,35100.0,35500.0,34500.0,197864.0,-0.8645533141210375,
2020.05.12,35250.0,550.0,34800.0,35500.0,34200.0,224371.0,1.5602836879432624,
2020.05.13,34900.0,350.0,35450.0,35450.0,34800.0,134044.0,-1.002865329512894,
