날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,9650.0,0.0,9610.0,9760.0,9590.0,45045.0,,
2020.01.02,9720.0,70.0,9700.0,9820.0,9660.0,53377.0,0.7201646090534979,
2020.01.03,9590.0,130.0,9730.0,9810.0,9520.0,65805.0,-1.3555787278415017,
2020.01.06,9250.0,340.0,9520.0,9580.0,9200.0,121482.0,-3.675675675675675,
2020.01.07,9290.0,40.0,9280.0,9420.0,9250.0,39833.0,0.4305705059203444,
2020.01.08,9030.0,260.0,9290.0,9310.0,8790.0,162727.0,-2.8792912513842746,
2020.01.09,9270.0,240.0,9100.0,9350.0,9100.0,61674.0,2.5889967637540456,
2020.01.10,9400.0,130.0,9300.0,9410.0,9270.0,40069.0,1.3829787234042552,
2020.01.13,9500.0,100.0,9400.0,9610.0,9370.0,46650.0,1.0526315789473684,
2020.01.14,9480.0,20.0,9480.0,9580.0,9290.0,36947.0,-0.21097046413502107,
2020.01.15,9460.0,20.0,9490.0,9530.0,9410.0,37602.0,-0.21141649048625796,
2020.01.16,9440.0,20.0,9410.0,9550.0,9380.0,32879.0,-0.21186440677966098,
2020.01.17,9520.0,80.0,9440.0,9560.0,9400.0,40987.0,0.8403361344537815,
2020.01.20,10150.0,630.0,9540.0,10350.0,9450.0,591332.0,6.206896551724138,
2020.01.21,9740.0,410.0,10350.0,10350.0,9720.0,263251.0,-4.2094455852156045,
2020.01.22,10000.0,260.0,9800.0,10150.0,9780.0,238847.0,2.6,
2020.01.23,13000.0,3000.0,11600.0,13000.0,10700.0,3036261.0,23.07692307692308,
2020.01.28,16900.0,3900.0,16900.0,16900.0,16900.0,213316.0,23.07692307692308,
2020.01.29,16900.0,0.0,17650.0,18550.0,16000.0,13472788.0,0.0,
2020.01.30,16900.0,0.0,16700.0,17800.0,14950.0,6568559.0,0.0,
2020.01.31,13900.0,3000.0,16750.0,17050.0,13600.0,4422821.0,-21.582733812949638,
2020.02.03,11650.0,2250.0,14000.0,14400.0,11150.0,3851156.0,-19.313304721030047,
2020.02.04,11950.0,300.0,11650.0,13100.0,11050.0,5488307.0,2.510460251046025,
2020.02.05,12150.0,200.0,11950.0,13200.0,11700.0,3474706.0,1.6460905349794241,
2020.02.06,12400.0,250.0,12600.0,13100.0,12150.0,2904547.0,2.0161290322580645,
2020.02.07,12200.0,200.0,12350.0,12850.0,12100.0,1396225.0,-1.639344262295082,
2020.02.10,12450.0,250.0,12450.0,13300.0,12300.0,2142774.0,2.0080321285140563,
2020.02.11,11550.0,900.0,12550.0,12700.0,11350.0,1082881.0,-7.792207792207793,
2020.02.12,10900.0,650.0,11300.0,11300.0,10800.0,787097.0,-5.963302752293577,
2020.02.13,10900.0,0.0,10950.0,11450.0,10850.0,838092.0,0.0,
2020.02.14,10600.0,300.0,11050.0,11300.0,10500.0,547817.0,-2.8301886792452837,
2020.02.17,10550.0,50.0,10750.0,11000.0,10250.0,552691.0,-0.4739336492890995,
2020.02.18,11000.0,450.0,10650.0,11500.0,10500.0,1836549.0,4.090909090909091,
