날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,14350.0,150.0,14300.0,14400.0,14100.0,134590.0,,
2020.01.02,14050.0,300.0,14350.0,14350.0,14000.0,154387.0,-2.1352313167259793,
2020.01.03,13800.0,250.0,14150.0,14200.0,13700.0,235819.0,-1.8115942028985508,
2020.01.06,12950.0,850.0,13650.0,13700.0,12900.0,394381.0,-6.563706563706562,
2020.01.07,13050.0,100.0,13100.0,13200.0,13000.0,173831.0,0.7662835249042145,
2020.01.08,13200.0,150.0,12850.0,13500.0,12350.0,737446.0,1.1363636363636365,
2020.01.09,13800.0,600.0,13700.0,13900.0,13550.0,347697.0,4.3478260869565215,
2020.01.10,13800.0,0.0,13850.0,13900.0,13600.0,138723.0,0.0,
2020.01.13,14250.0,450.0,13800.0,14350.0,13650.0,216759.0,3.1578947368421053,
2020.01.14,14250.0,0.0,14350.0,14400.0,14150.0,140497.0,0.0,
2020.01.15,14300.0,50.0,14200.0,14300.0,14150.0,110871.0,0.34965034965034963,
2020.01.16,14150.0,150.0,14250.0,14500.0,14100.0,179874.0,-1.060070671378092,
2020.01.17,14500.0,350.0,14200.0,14600.0,14200.0,278601.0,2.413793103448276,
2020.01.20,14750.0,250.0,14550.0,14900.0,14550.0,201848.0,1.6949152542372878,
2020.01.21,14750.0,0.0,14850.0,14900.0,14650.0,192713.0,0.0,
2020.01.22,15000.0,250.0,14800.0,15050.0,14750.0,203576.0,1.6666666666666667,
2020.01.23,14850.0,150.0,15000.0,15250.0,14850.0,231474.0,-1.0101010101010102,
2020.01.28,14400.0,450.0,14450.0,14900.0,14100.0,426710.0,-3.125,
2020.01.29,14250.0,150.0,14450.0,14600.0,14100.0,351057.0,-1.0526315789473684,
2020.01.30,14000.0,250.0,14250.0,14400.0,13950.0,216787.0,-1.7857142857142856,
2020.01.31,13750.0,250.0,14050.0,14200.0,13750.0,223302.0,-1.818181818181818,
2020.02.03,13600.0,150.0,13450.0,13800.0,13300.0,273917.0,-1.1029411764705883,
2020.02.04,13900.0,300.0,13600.0,14250.0,13600.0,251634.0,2.1582733812949644,
2020.02.05,14000.0,100.0,13900.0,14150.0,13650.0,276774.0,0.7142857142857143,
2020.02.06,14450.0,450.0,14100.0,14900.0,14050.0,380125.0,3.1141868512110724,
2020.02.07,14400.0,50.0,14350.0,14700.0,14300.0,219172.0,-0.3472222222222222,
2020.02.10,14450.0,50.0,14250.0,14600.0,14150.0,182150.0,0.3460207612456748,
2020.02.11,14300.0,150.0,14350.0,14550.0,14200.0,125716.0,-1.048951048951049,
2020.02.12,14150.0,150.0,14250.0,14400.0,14050.0,107090.0,-1.060070671378092,
2020.02.13,14050.0,100.0,14150.0,14800.0,14050.0,360620.0,-0.7117437722419928,
2020.02.14,13850.0,200.0,14050.0,14100.0,13800.0,137688.0,-1.444043321299639,
2020.02.17,13800.0,50.0,13900.0,13950.0,13700.0,86456.0,-0.3623188405797101,
2020.02.18,13550.0,250.0,13700.0,13800.0,13550.0,176013.0,-1.8450184501845015,
2020.02.19,13600.0,50.0,13750.0,13750.0,13350.0,97511.0,0.3676470588235294,
2020.02.20,13450.0,150.0,13600.0,13700.0,13450.0,105855.0,-1.1152416356877324,
2020.02.21,13800.0,350.0,13200.0,13950.0,13150.0,302618.0,2.5362318840579707,
2020.02.24,12800.0,1000.0,13900.0,13900.0,12600.0,337874.0,-7.8125,
2020.02.25,13100.0,300.0,12800.0,13150.0,12650.0,185882.0,2.2900763358778624,
2020.02.26,13250.0,150.0,12750.0,13450.0,12700.0,173814.0,1.1320754716981132,
2020.02.27,13100.0,150.0,13100.0,13550.0,12900.0,128938.0,-1.1450381679389312,
2020.02.28,12550.0,550.0,12900.0,13050.0,12400.0,219372.0,-4.382470119521913,
2020.03.02,13150.0,600.0,12500.0,14700.0,12400.0,986821.0,4.56273764258555,
2020.03.03,13200.0,50.0,13250.0,13300.0,13000.0,226495.0,0.3787878787878788,
2020.03.04,13250.0,50.0,13200.0,13350.0,13100.0,143204.0,0.37735849056603776,
2020.03.05,14300.0,1050.0,13300.0,14400.0,13150.0,545518.0,7.3426573426573425,
2020.03.06,14650.0,350.0,14150.0,14650.0,14050.0,389649.0,2.389078498293516,
2020.03.09,14550.0,100.0,14300.0,14650.0,14100.0,304016.0,-0.6872852233676976,
2020.03.10,18900.0,4350.0,14450.0,18900.0,13900.0,5685311.0,23.015873015873016,
2020.03.11,17000.0,1900.0,21050.0,21300.0,16300.0,10405111.0,-11.176470588235297,
2020.03.12,15800.0,1200.0,17000.0,18650.0,15250.0,8672712.0,-7.59493670886076,
2020.03.13,16600.0,800.0,15900.0,16800.0,14650.0,8565479.0,4.819277108433735,
2020.03.16,15400.0,1200.0,16600.0,17850.0,15400.0,7618556.0,-7.792207792207793,
2020.03.17,16500.0,1100.0,14500.0,16850.0,14350.0,5790043.0,6.666666666666668,
2020.03.18,14950.0,1550.0,17250.0,17450.0,14950.0,4596522.0,-10.367892976588626,
2020.03.19,17000.0,2050.0,15950.0,18350.0,14400.0,9329193.0,12.058823529411766,
2020.03.20,17700.0,700.0,17250.0,18200.0,16700.0,7593404.0,3.954802259887006,
2020.03.23,16850.0,850.0,17300.0,18100.0,16600.0,4535079.0,-5.044510385756675,
2020.03.24,17700.0,850.0,17100.0,17700.0,16600.0,4271833.0,4.8022598870056505,
2020.03.25,17800.0,100.0,17650.0,18500.0,17250.0,7389912.0,0.5617977528089888,
2020.03.26,18450.0,650.0,18000.0,19750.0,17700.0,10231097.0,3.5230352303523036,
2020.03.27,17650.0,800.0,19050.0,19650.0,16300.0,6539182.0,-4.53257790368272,
2020.03.30,19500.0,1850.0,18150.0,19800.0,18100.0,6298741.0,9.487179487179487,
2020.03.31,25350.0,5850.0,21900.0,25350.0,21100.0,24440577.0,23.07692307692308,
2020.04.01,23550.0,1800.0,25750.0,27900.0,22750.0,14812349.0,-7.643312101910827,
2020.04.02,22750.0,800.0,23550.0,24800.0,21200.0,9088947.0,-3.5164835164835164,
2020.04.03,23700.0,950.0,22750.0,26000.0,22400.0,12675620.0,4.008438818565401,
2020.04.06,26050.0,2350.0,24350.0,26750.0,23850.0,10621158.0,9.021113243761995,
2020.04.07,24050.0,2000.0,25450.0,25500.0,23150.0,6422355.0,-8.316008316008316,
2020.04.08,22950.0,1100.0,24300.0,24350.0,22850.0,3939262.0,-4.793028322440088,
2020.04.09,24000.0,1050.0,23550.0,25550.0,23050.0,10361424.0,4.375,
2020.04.10,24300.0,300.0,24550.0,26350.0,23400.0,10524289.0,1.2345679012345678,
2020.04.13,22250.0,2050.0,24550.0,24750.0,22100.0,3775183.0,-9.213483146067416,
2020.04.14,27700.0,5450.0,22750.0,28900.0,21550.0,39910164.0,19.67509025270758,
2020.04.16,29700.0,2000.0,28500.0,32900.0,28150.0,31799978.0,6.7340067340067336,
2020.04.17,27650.0,2050.0,28600.0,28800.0,26800.0,10522053.0,-7.414104882459313,
2020.04.20,28250.0,600.0,27700.0,30350.0,26450.0,17440991.0,2.1238938053097343,
2020.04.21,28550.0,300.0,29600.0,29900.0,26800.0,10231979.0,1.0507880910683012,
2020.04.22,27850.0,700.0,27650.0,28850.0,27500.0,4061542.0,-2.5134649910233398,
