날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,3565.0,225.0,3345.0,3650.0,3345.0,711645.0,,
2020.01.02,3515.0,50.0,3570.0,3720.0,3455.0,497027.0,-1.4224751066856332,
2020.01.03,3425.0,90.0,3515.0,3580.0,3400.0,421554.0,-2.627737226277372,
2020.01.06,3375.0,50.0,3425.0,3480.0,3300.0,327877.0,-1.4814814814814816,
2020.01.07,3445.0,70.0,3380.0,3480.0,3365.0,176811.0,2.0319303338171264,
2020.01.08,3320.0,125.0,3445.0,3475.0,3160.0,489353.0,-3.765060240963856,
2020.01.09,3395.0,75.0,3340.0,3550.0,3340.0,333503.0,2.2091310751104567,
2020.01.10,3310.0,85.0,3400.0,3410.0,3290.0,277515.0,-2.5679758308157097,
2020.01.13,3400.0,90.0,3295.0,3535.0,3265.0,646981.0,2.647058823529412,
2020.01.14,3560.0,160.0,3380.0,3600.0,3380.0,494468.0,4.49438202247191,
2020.01.15,3635.0,75.0,3560.0,3870.0,3460.0,1328854.0,2.0632737276478683,
2020.01.16,4425.0,790.0,3800.0,4560.0,3800.0,7494283.0,17.853107344632765,
2020.01.17,4665.0,240.0,4610.0,4885.0,4500.0,2647217.0,5.144694533762059,
2020.01.20,4765.0,100.0,4675.0,4850.0,4595.0,1415797.0,2.098635886673662,
2020.01.21,4890.0,125.0,4700.0,4965.0,4700.0,1116252.0,2.5562372188139055,
2020.01.22,4935.0,45.0,4900.0,5030.0,4850.0,751619.0,0.9118541033434651,
2020.01.23,5390.0,455.0,5100.0,5490.0,4980.0,2486958.0,8.441558441558442,
2020.01.28,5380.0,10.0,5200.0,5500.0,5180.0,2075838.0,-0.18587360594795535,
2020.01.29,5780.0,400.0,5440.0,5800.0,5430.0,2152204.0,6.920415224913494,
2020.01.30,5010.0,770.0,5760.0,5770.0,4800.0,5730783.0,-15.369261477045908,
2020.01.31,4530.0,480.0,4905.0,5100.0,4350.0,3976083.0,-10.596026490066226,
2020.02.03,4835.0,305.0,4425.0,4840.0,4250.0,1894710.0,6.308169596690798,
2020.02.04,5240.0,405.0,4890.0,5300.0,4795.0,1922664.0,7.729007633587787,
2020.02.05,5100.0,140.0,5300.0,5420.0,4840.0,2158742.0,-2.7450980392156863,
2020.02.06,5150.0,50.0,5110.0,5240.0,4850.0,1919187.0,0.9708737864077668,
