날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,67300.0,2900.0,65100.0,68000.0,64500.0,63792.0,,
2020.01.02,67800.0,500.0,67300.0,68400.0,65100.0,63722.0,0.7374631268436578,
2020.01.03,65500.0,2300.0,68300.0,68400.0,65400.0,56080.0,-3.5114503816793894,
2020.01.06,62300.0,3200.0,64000.0,64900.0,62200.0,43966.0,-5.1364365971107535,
2020.01.07,63300.0,1000.0,63400.0,64200.0,62100.0,36976.0,1.579778830963665,
2020.01.08,59600.0,3700.0,62300.0,62400.0,59300.0,62581.0,-6.208053691275167,
2020.01.09,61000.0,1400.0,62200.0,62300.0,60100.0,53861.0,2.295081967213114,
2020.01.10,60800.0,200.0,61100.0,61500.0,60300.0,36131.0,-0.3289473684210526,
2020.01.13,59900.0,900.0,60400.0,61200.0,59500.0,44567.0,-1.5025041736227045,
2020.01.14,58600.0,1300.0,60600.0,60600.0,58000.0,58117.0,-2.2184300341296934,
2020.01.15,59700.0,1100.0,59700.0,60300.0,58600.0,33943.0,1.8425460636515916,
2020.01.16,59100.0,600.0,59900.0,60200.0,58400.0,27575.0,-1.0152284263959392,
2020.01.17,59700.0,600.0,59000.0,60000.0,58500.0,33647.0,1.0050251256281406,
2020.01.20,60000.0,300.0,59900.0,61400.0,59300.0,44017.0,0.5,
2020.01.21,58100.0,1900.0,60100.0,60100.0,57600.0,34290.0,-3.2702237521514634,
2020.01.22,58800.0,700.0,58000.0,59400.0,58000.0,22900.0,1.1904761904761905,
2020.01.23,57500.0,1300.0,58200.0,58800.0,57500.0,28671.0,-2.260869565217392,
2020.01.28,54900.0,2600.0,56500.0,56500.0,54400.0,47592.0,-4.735883424408015,
2020.01.29,55600.0,700.0,55100.0,56100.0,55000.0,25977.0,1.2589928057553956,
2020.01.30,53600.0,2000.0,55100.0,55800.0,52800.0,34724.0,-3.7313432835820888,
2020.01.31,52000.0,1600.0,53100.0,54200.0,51800.0,36131.0,-3.0769230769230766,
2020.02.03,52800.0,800.0,51000.0,53300.0,50400.0,40378.0,1.5151515151515151,
2020.02.04,55200.0,2400.0,53300.0,55500.0,53000.0,23768.0,4.3478260869565215,
2020.02.05,54200.0,1000.0,55400.0,56700.0,53500.0,34621.0,-1.8450184501845015,
2020.02.06,55000.0,800.0,55100.0,55500.0,53600.0,33130.0,1.4545454545454546,
2020.02.07,54600.0,400.0,54600.0,55400.0,54000.0,20661.0,-0.7326007326007326,
2020.02.10,55200.0,600.0,54100.0,55900.0,53300.0,26526.0,1.0869565217391304,
2020.02.11,56000.0,800.0,56200.0,56200.0,55000.0,23357.0,1.4285714285714286,
2020.02.12,55000.0,1000.0,55700.0,56600.0,54500.0,33225.0,-1.818181818181818,
2020.02.13,54200.0,800.0,54800.0,55500.0,53000.0,64582.0,-1.4760147601476017,
2020.02.14,53700.0,500.0,53700.0,55100.0,53100.0,34725.0,-0.931098696461825,
2020.02.17,53400.0,300.0,53500.0,54600.0,52400.0,28379.0,-0.5617977528089888,
2020.02.18,51800.0,1600.0,52700.0,53400.0,51000.0,39342.0,-3.088803088803089,
2020.02.19,51500.0,300.0,52200.0,52500.0,51000.0,21936.0,-0.5825242718446602,
2020.02.20,50700.0,800.0,51500.0,52100.0,50300.0,32355.0,-1.5779092702169626,
2020.02.21,52300.0,1600.0,54400.0,55900.0,52300.0,149818.0,3.0592734225621414,
2020.02.24,50700.0,1600.0,51500.0,54300.0,49500.0,89528.0,-3.1558185404339247,
2020.02.25,51500.0,800.0,50100.0,52200.0,49200.0,57643.0,1.5533980582524272,
2020.02.26,55000.0,3500.0,50500.0,55300.0,49950.0,85448.0,6.363636363636362,
2020.02.27,52400.0,2600.0,54500.0,56100.0,51800.0,86183.0,-4.961832061068702,
2020.02.28,50000.0,2400.0,51200.0,52500.0,49500.0,112352.0,-4.8,
2020.03.02,51900.0,1900.0,50500.0,58200.0,49350.0,224626.0,3.6608863198458574,
2020.03.03,54700.0,2800.0,53000.0,56200.0,52000.0,168328.0,5.1188299817184655,
2020.03.04,56000.0,1300.0,54000.0,56300.0,54000.0,91070.0,2.321428571428572,
2020.03.05,62100.0,6100.0,57000.0,62600.0,56000.0,326840.0,9.822866344605476,
2020.03.06,64500.0,2400.0,61500.0,65400.0,60900.0,239312.0,3.72093023255814,
2020.03.09,61800.0,2700.0,63500.0,65000.0,61100.0,188709.0,-4.368932038834951,
2020.03.10,65800.0,4000.0,60300.0,66100.0,60200.0,278465.0,6.079027355623101,
2020.03.11,54500.0,11300.0,64500.0,65400.0,53800.0,431970.0,-20.733944954128443,
2020.03.12,52100.0,2400.0,54500.0,56400.0,50900.0,162017.0,-4.606525911708253,
2020.03.13,47900.0,4200.0,47000.0,50600.0,45250.0,213995.0,-8.768267223382047,
2020.03.16,50600.0,2700.0,49550.0,59300.0,48800.0,314726.0,5.33596837944664,
2020.03.17,56400.0,5800.0,48200.0,57400.0,48200.0,246971.0,10.28368794326241,
2020.03.18,52000.0,4400.0,57200.0,59300.0,51500.0,238848.0,-8.461538461538463,
2020.03.19,51600.0,400.0,55000.0,55500.0,48600.0,197103.0,-0.7751937984496124,
2020.03.20,57300.0,5700.0,53800.0,57700.0,51700.0,188389.0,9.947643979057592,
2020.03.23,55800.0,1500.0,55600.0,63800.0,54800.0,421883.0,-2.6881720430107525,
