날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,22550.0,350.0,22300.0,22850.0,22250.0,41731.0,,
2020.01.02,22850.0,300.0,22700.0,23300.0,22350.0,68627.0,1.312910284463895,
2020.01.03,22650.0,200.0,22850.0,23050.0,22500.0,46055.0,-0.8830022075055187,
2020.01.06,21850.0,800.0,22650.0,22650.0,21850.0,57438.0,-3.6613272311212817,
2020.01.07,22000.0,150.0,22100.0,22200.0,21900.0,38170.0,0.6818181818181818,
2020.01.08,20650.0,1350.0,22000.0,22000.0,20350.0,113448.0,-6.5375302663438255,
2020.01.09,21350.0,700.0,21200.0,21400.0,21000.0,58620.0,3.278688524590164,
2020.01.10,21250.0,100.0,21350.0,21450.0,20900.0,41249.0,-0.4705882352941176,
2020.01.13,21250.0,0.0,21250.0,21500.0,21050.0,41474.0,0.0,
2020.01.14,21250.0,0.0,21450.0,21450.0,21100.0,43918.0,0.0,
2020.01.15,21150.0,100.0,21200.0,21350.0,21000.0,34218.0,-0.4728132387706856,
2020.01.16,21100.0,50.0,21150.0,21300.0,20850.0,26976.0,-0.23696682464454974,
2020.01.17,20850.0,250.0,21100.0,21350.0,20800.0,43028.0,-1.1990407673860912,
2020.01.20,21050.0,200.0,20900.0,21400.0,20900.0,49620.0,0.9501187648456058,
2020.01.21,21200.0,150.0,21100.0,21600.0,21100.0,43353.0,0.7075471698113208,
2020.01.22,22000.0,800.0,21500.0,22650.0,21300.0,131890.0,3.636363636363636,
2020.01.23,24550.0,2550.0,22100.0,27450.0,22100.0,1958268.0,10.386965376782078,
2020.01.28,27750.0,3200.0,26600.0,27750.0,25600.0,1191175.0,11.531531531531535,
2020.01.29,25250.0,2500.0,26800.0,26900.0,25100.0,417278.0,-9.900990099009901,
2020.01.30,24300.0,950.0,25600.0,25900.0,23850.0,235418.0,-3.909465020576132,
2020.01.31,24050.0,250.0,25000.0,25150.0,23700.0,234981.0,-1.0395010395010396,
2020.02.03,22800.0,1250.0,24250.0,24600.0,22750.0,249541.0,-5.482456140350877,
2020.02.04,22950.0,150.0,22750.0,23150.0,22450.0,137197.0,0.6535947712418301,
2020.02.05,23250.0,300.0,22950.0,23800.0,22850.0,165202.0,1.2903225806451613,
2020.02.06,23700.0,450.0,23450.0,24200.0,23350.0,118419.0,1.89873417721519,
2020.02.07,23900.0,200.0,24500.0,24550.0,23600.0,90716.0,0.8368200836820083,
2020.02.10,23200.0,700.0,24000.0,24050.0,23000.0,81437.0,-3.0172413793103448,
2020.02.11,22900.0,300.0,23050.0,23350.0,22750.0,95394.0,-1.310043668122271,
2020.02.12,22650.0,250.0,22950.0,23000.0,22350.0,84116.0,-1.1037527593818983,
2020.02.13,22300.0,350.0,22950.0,22950.0,22200.0,83202.0,-1.5695067264573992,
2020.02.14,22200.0,100.0,22150.0,22600.0,22150.0,60217.0,-0.4504504504504505,
2020.02.17,22350.0,150.0,22250.0,22500.0,22000.0,58283.0,0.6711409395973155,
2020.02.18,21950.0,400.0,22250.0,22300.0,21750.0,77921.0,-1.8223234624145783,
2020.02.19,22400.0,450.0,22100.0,22600.0,22050.0,91453.0,2.008928571428572,
2020.02.20,22150.0,250.0,22550.0,22850.0,22100.0,91356.0,-1.1286681715575622,
2020.02.21,21700.0,450.0,22350.0,22700.0,21550.0,91482.0,-2.0737327188940093,
2020.02.24,21100.0,600.0,22000.0,23100.0,21000.0,328872.0,-2.8436018957345968,
2020.02.25,21400.0,300.0,21300.0,21450.0,20550.0,82319.0,1.4018691588785046,
2020.02.26,21250.0,150.0,21500.0,22300.0,21200.0,122025.0,-0.7058823529411765,
2020.02.27,21400.0,150.0,21250.0,21850.0,21150.0,103994.0,0.7009345794392523,
2020.02.28,20600.0,800.0,21500.0,22400.0,20150.0,189807.0,-3.883495145631068,
2020.03.02,20800.0,200.0,20750.0,20900.0,20300.0,95655.0,0.9615384615384616,
2020.03.03,21400.0,600.0,21200.0,21550.0,20900.0,100048.0,2.803738317757009,
2020.03.04,21450.0,50.0,21400.0,21800.0,21300.0,75158.0,0.2331002331002331,
2020.03.05,22900.0,1450.0,21700.0,23450.0,21500.0,391672.0,6.331877729257642,
2020.03.06,22650.0,250.0,22600.0,23350.0,22300.0,118969.0,-1.1037527593818983,
2020.03.09,22400.0,250.0,22600.0,22950.0,21900.0,156235.0,-1.1160714285714286,
2020.03.10,23300.0,900.0,21600.0,27250.0,21550.0,2136467.0,3.862660944206009,
2020.03.11,23000.0,300.0,23500.0,24200.0,22350.0,443604.0,-1.3043478260869563,
2020.03.12,22300.0,700.0,22750.0,24400.0,22000.0,459633.0,-3.1390134529147984,
2020.03.13,28950.0,6650.0,20500.0,28950.0,19700.0,1131191.0,22.9706390328152,
2020.03.16,36450.0,7500.0,37600.0,37600.0,33900.0,5835167.0,20.5761316872428,
2020.03.17,35050.0,1400.0,32850.0,40600.0,32250.0,5384470.0,-3.9942938659058487,
2020.03.18,28400.0,6650.0,35550.0,35700.0,28400.0,2840053.0,-23.415492957746483,
2020.03.19,26800.0,1600.0,30300.0,30300.0,24050.0,3226419.0,-5.970149253731343,
2020.03.20,27800.0,1000.0,27000.0,30750.0,26050.0,3331528.0,3.5971223021582728,
2020.03.23,27650.0,150.0,26250.0,29950.0,26250.0,1914184.0,-0.5424954792043399,
2020.03.24,28100.0,450.0,28000.0,29300.0,27650.0,1582935.0,1.6014234875444842,
2020.03.25,31350.0,3250.0,28700.0,33300.0,28150.0,4826624.0,10.36682615629984,
2020.03.26,31700.0,350.0,31550.0,34850.0,30450.0,4209825.0,1.1041009463722398,
2020.03.27,30300.0,1400.0,32800.0,33950.0,28600.0,2659487.0,-4.62046204620462,
2020.03.30,33700.0,3400.0,31250.0,35000.0,30750.0,2939149.0,10.08902077151335,
2020.03.31,41700.0,8000.0,34650.0,41800.0,34150.0,6997802.0,19.184652278177463,
2020.04.01,34500.0,7200.0,39900.0,40000.0,33200.0,2554459.0,-20.869565217391305,
2020.04.02,34200.0,300.0,34000.0,35850.0,32100.0,1525776.0,-0.8771929824561403,
2020.04.03,34750.0,550.0,34600.0,37100.0,34000.0,1747244.0,1.5827338129496402,
2020.04.06,36500.0,1750.0,35350.0,36850.0,35100.0,1180269.0,4.794520547945205,
