날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,16500.0,550.0,16800.0,16800.0,15800.0,221.0,,
2020.01.02,16450.0,50.0,16450.0,16450.0,15900.0,381.0,-0.30395136778115506,
2020.01.03,15200.0,1250.0,16450.0,16450.0,15200.0,792.0,-8.223684210526317,
2020.01.06,15850.0,650.0,15600.0,15900.0,15000.0,1536.0,4.100946372239748,
2020.01.07,15850.0,0.0,15850.0,15850.0,15150.0,314.0,0.0,
2020.01.08,15400.0,450.0,15500.0,15500.0,15050.0,1269.0,-2.922077922077922,
2020.01.09,15300.0,100.0,15400.0,15400.0,14550.0,2434.0,-0.6535947712418301,
2020.01.10,15100.0,200.0,15000.0,15300.0,14650.0,1462.0,-1.3245033112582782,
2020.01.13,15000.0,100.0,15000.0,15000.0,15000.0,26822.0,-0.6666666666666667,
2020.01.14,14400.0,600.0,16500.0,16500.0,14400.0,724.0,-4.166666666666666,
2020.01.15,14300.0,100.0,14400.0,14850.0,14300.0,1236.0,-0.6993006993006993,
2020.01.16,14250.0,50.0,15500.0,15500.0,13850.0,369.0,-0.3508771929824561,
2020.01.17,14250.0,0.0,14000.0,14400.0,14000.0,772.0,0.0,
2020.01.20,14200.0,50.0,14300.0,14950.0,14200.0,430.0,-0.3521126760563381,
2020.01.21,13450.0,750.0,13700.0,14500.0,13450.0,248.0,-5.5762081784386615,
2020.01.22,14200.0,750.0,13650.0,14350.0,13650.0,296.0,5.28169014084507,
2020.01.23,14250.0,50.0,16000.0,16000.0,13750.0,1106.0,0.3508771929824561,
2020.01.28,14300.0,50.0,14000.0,14500.0,13750.0,1078.0,0.34965034965034963,
2020.01.29,14200.0,100.0,14500.0,14500.0,13500.0,2442.0,-0.7042253521126761,
2020.01.30,14450.0,250.0,14200.0,14450.0,14200.0,162.0,1.7301038062283738,
2020.01.31,14450.0,0.0,14450.0,14450.0,14000.0,218.0,0.0,
2020.02.03,14400.0,50.0,13800.0,14400.0,13700.0,121.0,-0.3472222222222222,
2020.02.04,15000.0,600.0,13700.0,15000.0,13400.0,2417.0,4.0,
2020.02.05,15200.0,200.0,14550.0,15200.0,14500.0,593.0,1.3157894736842104,
2020.02.06,16700.0,1500.0,16850.0,16850.0,16700.0,21.0,8.982035928143713,
2020.02.07,16400.0,300.0,15000.0,16400.0,15000.0,927.0,-1.829268292682927,
