날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,5770.0,120.0,5690.0,5810.0,5650.0,522293.0,,
2020.01.02,5800.0,30.0,5790.0,5860.0,5760.0,395834.0,0.5172413793103449,
2020.01.03,5700.0,100.0,5850.0,5870.0,5640.0,431475.0,-1.7543859649122806,
2020.01.06,5600.0,100.0,5560.0,5650.0,5510.0,362884.0,-1.7857142857142856,
2020.01.07,5550.0,50.0,5670.0,5700.0,5550.0,354325.0,-0.9009009009009008,
2020.01.08,5270.0,280.0,5550.0,5560.0,5260.0,778009.0,-5.313092979127135,
2020.01.09,5530.0,260.0,5420.0,5570.0,5390.0,332581.0,4.701627486437613,
2020.01.10,5700.0,170.0,5680.0,6020.0,5630.0,2134132.0,2.982456140350877,
2020.01.13,5760.0,60.0,5770.0,5860.0,5680.0,465736.0,1.0416666666666663,
2020.01.14,5680.0,80.0,5800.0,5930.0,5660.0,613734.0,-1.4084507042253522,
2020.01.15,5740.0,60.0,5730.0,5830.0,5690.0,376465.0,1.0452961672473868,
2020.01.16,5900.0,160.0,5800.0,5920.0,5740.0,611290.0,2.7118644067796613,
2020.01.17,5920.0,20.0,5950.0,6070.0,5840.0,724897.0,0.33783783783783783,
2020.01.20,5680.0,240.0,5930.0,5940.0,5610.0,866845.0,-4.225352112676056,
2020.01.21,5430.0,250.0,5680.0,5730.0,5430.0,738566.0,-4.6040515653775325,
2020.01.22,5600.0,170.0,5440.0,5650.0,5440.0,358028.0,3.0357142857142856,
2020.01.23,5660.0,60.0,5600.0,5770.0,5500.0,469681.0,1.060070671378092,
2020.01.28,5320.0,340.0,5440.0,5470.0,5150.0,779588.0,-6.390977443609022,
2020.01.29,5460.0,140.0,5410.0,5560.0,5400.0,773020.0,2.564102564102564,
2020.01.30,6850.0,1390.0,5790.0,7090.0,5630.0,28009449.0,20.29197080291971,
2020.01.31,6440.0,410.0,6900.0,7230.0,6340.0,18294305.0,-6.366459627329192,
2020.02.03,5640.0,800.0,6220.0,6420.0,5620.0,6541446.0,-14.184397163120568,
2020.02.04,5790.0,150.0,5710.0,6210.0,5630.0,6725995.0,2.5906735751295336,
2020.02.05,5920.0,130.0,6090.0,6440.0,5920.0,8277620.0,2.195945945945946,
2020.02.06,6140.0,220.0,5990.0,6140.0,5850.0,3638451.0,3.5830618892508146,
2020.02.07,6890.0,750.0,6350.0,7670.0,6200.0,45675454.0,10.885341074020321,
2020.02.10,6660.0,230.0,6950.0,7010.0,6630.0,7120770.0,-3.453453453453453,
2020.02.11,6850.0,190.0,6660.0,7120.0,6640.0,13792129.0,2.7737226277372264,
2020.02.12,6430.0,420.0,6960.0,7070.0,6390.0,5161762.0,-6.531881804043546,
2020.02.13,6340.0,90.0,6500.0,6520.0,6180.0,3363292.0,-1.4195583596214512,
2020.02.14,6780.0,440.0,6330.0,6820.0,6300.0,6145071.0,6.489675516224189,
2020.02.17,6550.0,230.0,6800.0,6810.0,6430.0,1939405.0,-3.5114503816793894,
2020.02.18,6660.0,110.0,6690.0,6960.0,6550.0,6980298.0,1.6516516516516515,
2020.02.19,6930.0,270.0,6760.0,7150.0,6690.0,9372818.0,3.8961038961038965,
2020.02.20,6550.0,380.0,7070.0,7260.0,6370.0,7766585.0,-5.801526717557253,
2020.02.21,6440.0,110.0,6670.0,6740.0,6310.0,2305428.0,-1.708074534161491,
2020.02.24,6290.0,150.0,6400.0,6890.0,6290.0,4490563.0,-2.384737678855326,
2020.02.25,6390.0,100.0,6230.0,6660.0,6120.0,2173745.0,1.5649452269170578,
2020.02.26,6840.0,450.0,6260.0,6940.0,6250.0,4683338.0,6.578947368421053,
2020.02.27,8350.0,1510.0,6960.0,8790.0,6670.0,50471037.0,18.08383233532934,
2020.02.28,7680.0,670.0,8110.0,9110.0,7570.0,28964119.0,-8.723958333333332,
2020.03.02,7740.0,60.0,7860.0,8210.0,7610.0,11024736.0,0.7751937984496124,
2020.03.03,7330.0,410.0,7880.0,8070.0,7330.0,9190182.0,-5.593451568894952,
2020.03.04,7250.0,80.0,7340.0,7460.0,7030.0,5670245.0,-1.1034482758620692,
2020.03.05,7200.0,50.0,7430.0,7650.0,7140.0,8341799.0,-0.6944444444444444,
2020.03.06,7740.0,540.0,7450.0,8130.0,7400.0,30540582.0,6.9767441860465125,
2020.03.09,9180.0,1440.0,8150.0,9600.0,8050.0,46408115.0,15.68627450980392,
2020.03.10,8050.0,1130.0,8570.0,10250.0,7890.0,40569890.0,-14.03726708074534,
2020.03.11,9320.0,1270.0,8600.0,9740.0,8260.0,51369604.0,13.626609442060087,
2020.03.12,9000.0,320.0,9500.0,9950.0,8620.0,22381802.0,-3.555555555555556,
2020.03.13,7500.0,1500.0,8500.0,8830.0,7000.0,10969913.0,-20.0,
2020.03.16,7600.0,100.0,7710.0,8480.0,7260.0,15969961.0,1.3157894736842104,
2020.03.17,7650.0,50.0,7060.0,7950.0,7050.0,14804813.0,0.6535947712418301,
2020.03.18,7940.0,290.0,8300.0,8970.0,7600.0,27637363.0,3.6523929471032734,
2020.03.19,7160.0,780.0,8140.0,8210.0,6900.0,9488424.0,-10.893854748603351,
2020.03.20,7300.0,140.0,7180.0,7680.0,7040.0,7902958.0,1.9178082191780823,
2020.03.23,6440.0,860.0,7350.0,7450.0,6230.0,7623440.0,-13.354037267080743,
2020.03.24,6700.0,260.0,6500.0,7030.0,6360.0,9712661.0,3.8805970149253732,
2020.03.25,8140.0,1440.0,7410.0,8470.0,7000.0,30569497.0,17.69041769041769,
2020.03.26,9640.0,1500.0,8220.0,10150.0,8200.0,44703086.0,15.560165975103734,
2020.03.27,12500.0,2860.0,11050.0,12500.0,9020.0,44544491.0,22.88,
2020.03.30,12500.0,0.0,12850.0,13500.0,11600.0,29033313.0,0.0,
2020.03.31,11250.0,1250.0,12550.0,12550.0,10550.0,16320573.0,-11.111111111111109,
2020.04.01,10350.0,900.0,11050.0,11150.0,9950.0,11584392.0,-8.695652173913043,
2020.04.02,10550.0,200.0,10400.0,11300.0,10050.0,12258540.0,1.895734597156398,
2020.04.03,10350.0,200.0,10450.0,10650.0,9990.0,6080653.0,-1.932367149758454,
2020.04.06,10950.0,600.0,10750.0,11550.0,10500.0,15604366.0,5.479452054794519,
2020.04.07,10250.0,700.0,11000.0,11000.0,9910.0,6553692.0,-6.829268292682928,
2020.04.08,10700.0,450.0,10400.0,10700.0,9950.0,7634558.0,4.205607476635514,
2020.04.09,10250.0,450.0,10450.0,10600.0,10200.0,3532971.0,-4.390243902439024,
2020.04.10,9640.0,610.0,10300.0,10350.0,9300.0,5100131.0,-6.327800829875518,
2020.04.13,8780.0,860.0,9510.0,9610.0,8640.0,6057802.0,-9.79498861047836,
2020.04.14,8690.0,90.0,9090.0,9300.0,8530.0,5572795.0,-1.0356731875719216,
2020.04.16,8600.0,90.0,8400.0,8650.0,8110.0,4040129.0,-1.0465116279069768,
2020.04.17,8800.0,200.0,8700.0,9420.0,8630.0,8863068.0,2.272727272727273,
2020.04.20,9370.0,570.0,9120.0,9420.0,8910.0,6575771.0,6.0832443970117405,
2020.04.21,8960.0,410.0,9380.0,9580.0,8470.0,5298343.0,-4.575892857142857,
2020.04.22,9250.0,290.0,9300.0,9740.0,9070.0,10588876.0,3.135135135135135,
2020.04.23,9410.0,160.0,9310.0,9560.0,9200.0,4784970.0,1.7003188097768331,
2020.04.24,8810.0,600.0,9320.0,9460.0,8710.0,3512515.0,-6.81044267877412,
2020.04.27,9060.0,250.0,8980.0,9180.0,8900.0,1714776.0,2.759381898454746,
2020.04.28,8780.0,280.0,9110.0,9140.0,8720.0,1733703.0,-3.1890660592255133,
2020.04.29,9000.0,220.0,8860.0,9040.0,8730.0,1597044.0,2.4444444444444446,
2020.05.04,8830.0,170.0,8860.0,9060.0,8790.0,1143314.0,-1.9252548131370328,
2020.05.06,9030.0,200.0,8850.0,9070.0,8830.0,1694435.0,2.2148394241417497,
2020.05.07,8920.0,110.0,9000.0,9100.0,8900.0,1190415.0,-1.2331838565022422,
2020.05.08,9150.0,230.0,9000.0,9280.0,8960.0,2853630.0,2.5136612021857925,
2020.05.11,9160.0,10.0,9280.0,9380.0,9060.0,2322123.0,0.10917030567685587,
2020.05.12,9460.0,300.0,9240.0,9590.0,9190.0,5386958.0,3.171247357293869,
2020.05.13,9210.0,250.0,9510.0,9530.0,9180.0,2295259.0,-2.7144408251900107,
2020.05.14,9550.0,340.0,9200.0,9940.0,9200.0,10490752.0,3.56020942408377,
