날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,6590.0,110.0,6520.0,6620.0,6460.0,1164601.0,,
2020.01.02,6570.0,20.0,6680.0,6680.0,6500.0,1090338.0,-0.30441400304414,
2020.01.03,6560.0,10.0,6580.0,6810.0,6500.0,2196930.0,-0.1524390243902439,
2020.01.06,6280.0,280.0,6540.0,6850.0,6200.0,3598276.0,-4.4585987261146505,
2020.01.07,6470.0,190.0,6290.0,6660.0,6280.0,3224921.0,2.9366306027820714,
2020.01.08,6100.0,370.0,6440.0,6480.0,6020.0,2193624.0,-6.0655737704918025,
2020.01.09,6480.0,380.0,6290.0,6570.0,6250.0,2042899.0,5.864197530864197,
2020.01.10,6510.0,30.0,6550.0,6560.0,6330.0,1179022.0,0.4608294930875576,
2020.01.13,6530.0,20.0,6510.0,6630.0,6420.0,1042932.0,0.3062787136294028,
2020.01.14,6610.0,80.0,6560.0,6780.0,6550.0,2055902.0,1.2102874432677762,
2020.01.15,6660.0,50.0,6650.0,6740.0,6570.0,884499.0,0.7507507507507507,
2020.01.16,6700.0,40.0,6650.0,6840.0,6630.0,1322839.0,0.5970149253731344,
2020.01.17,6630.0,70.0,6830.0,6830.0,6610.0,817015.0,-1.0558069381598794,
2020.01.20,6460.0,170.0,6600.0,6630.0,6390.0,1090334.0,-2.631578947368421,
2020.01.21,6390.0,70.0,6460.0,6460.0,6310.0,825752.0,-1.0954616588419406,
2020.01.22,6470.0,80.0,6450.0,6690.0,6210.0,1773871.0,1.2364760432766615,
2020.01.23,6430.0,40.0,6510.0,6510.0,6360.0,555378.0,-0.6220839813374806,
2020.01.28,6250.0,180.0,6100.0,6470.0,6100.0,1196375.0,-2.88,
2020.01.29,6360.0,110.0,6340.0,6430.0,6240.0,599693.0,1.729559748427673,
2020.01.30,6120.0,240.0,6340.0,6390.0,6110.0,819153.0,-3.92156862745098,
2020.01.31,5910.0,210.0,6060.0,6170.0,5900.0,924578.0,-3.5532994923857872,
2020.02.03,6040.0,130.0,5560.0,6050.0,5550.0,1066767.0,2.1523178807947017,
2020.02.04,6280.0,240.0,6100.0,6280.0,6030.0,718750.0,3.8216560509554136,
2020.02.05,6310.0,30.0,6290.0,6400.0,6170.0,718296.0,0.4754358161648178,
2020.02.06,6260.0,50.0,6400.0,6490.0,6250.0,1459889.0,-0.7987220447284344,
2020.02.07,8130.0,1870.0,6310.0,8130.0,6310.0,5923028.0,23.001230012300123,
2020.02.10,10000.0,1870.0,10550.0,10550.0,9500.0,18531157.0,18.7,
2020.02.11,9290.0,710.0,9750.0,9750.0,9200.0,5043535.0,-7.642626480086113,
2020.02.12,9080.0,210.0,9100.0,9500.0,8850.0,4839548.0,-2.312775330396476,
2020.02.13,8740.0,340.0,9140.0,9190.0,8400.0,3742660.0,-3.8901601830663615,
2020.02.14,8770.0,30.0,8670.0,8980.0,8500.0,2310737.0,0.34207525655644244,
2020.02.17,8770.0,0.0,8720.0,8920.0,8610.0,1439242.0,0.0,
2020.02.18,8650.0,120.0,8680.0,8880.0,8570.0,1337751.0,-1.3872832369942196,
2020.02.19,8720.0,70.0,8670.0,8780.0,8190.0,1803177.0,0.8027522935779817,
2020.02.20,8480.0,240.0,8800.0,8860.0,8480.0,1444345.0,-2.8301886792452837,
2020.02.21,8370.0,110.0,8180.0,8450.0,8040.0,1173066.0,-1.3142174432497014,
2020.02.24,7460.0,910.0,8150.0,8280.0,7460.0,1743162.0,-12.198391420911527,
2020.02.25,7940.0,480.0,7360.0,8470.0,7350.0,3215556.0,6.045340050377834,
2020.02.26,7960.0,20.0,7760.0,8000.0,7550.0,1290115.0,0.25125628140703515,
2020.02.27,7500.0,460.0,7880.0,8070.0,7430.0,1388145.0,-6.133333333333333,
2020.02.28,7260.0,240.0,7130.0,7460.0,7100.0,1152353.0,-3.3057851239669422,
2020.03.02,7670.0,410.0,7260.0,8040.0,7220.0,1793183.0,5.345501955671447,
2020.03.03,7630.0,40.0,7900.0,7910.0,7620.0,950422.0,-0.5242463958060288,
2020.03.04,7810.0,180.0,7540.0,7930.0,7500.0,741333.0,2.3047375160051216,
2020.03.05,7910.0,100.0,8000.0,8050.0,7830.0,955209.0,1.2642225031605565,
2020.03.06,7960.0,50.0,7710.0,7960.0,7620.0,881272.0,0.628140703517588,
2020.03.09,7480.0,480.0,7770.0,7850.0,7480.0,951578.0,-6.417112299465241,
2020.03.10,7590.0,110.0,7240.0,8700.0,7190.0,11145930.0,1.4492753623188406,
2020.03.11,7140.0,450.0,7730.0,7820.0,7050.0,2145694.0,-6.302521008403361,
2020.03.12,7150.0,10.0,7060.0,7280.0,6870.0,1697972.0,0.13986013986013987,
2020.03.13,6670.0,480.0,6700.0,6930.0,6190.0,1637994.0,-7.1964017991004505,
2020.03.16,6520.0,150.0,7000.0,7110.0,6510.0,1221705.0,-2.3006134969325154,
2020.03.17,6870.0,350.0,6040.0,6900.0,6030.0,1736146.0,5.094614264919941,
2020.03.18,7020.0,150.0,6920.0,8200.0,6900.0,5109531.0,2.1367521367521367,
2020.03.19,6700.0,320.0,7290.0,7430.0,6290.0,2399297.0,-4.776119402985075,
2020.03.20,7220.0,520.0,6970.0,7280.0,6910.0,1766201.0,7.202216066481996,
2020.03.23,6840.0,380.0,6970.0,7120.0,6740.0,1213607.0,-5.5555555555555545,
2020.03.24,7150.0,310.0,6990.0,7230.0,6900.0,1769920.0,4.335664335664335,
2020.03.25,7430.0,280.0,7500.0,7550.0,7220.0,2199343.0,3.7685060565275914,
2020.03.26,8200.0,770.0,7510.0,8450.0,7360.0,6197376.0,9.390243902439023,
2020.03.27,7890.0,310.0,8500.0,8690.0,7560.0,6007938.0,-3.9290240811153363,
2020.03.30,8250.0,360.0,7800.0,8330.0,7650.0,2533477.0,4.363636363636363,
2020.03.31,8900.0,650.0,8400.0,9290.0,8260.0,5903089.0,7.303370786516854,
2020.04.01,8800.0,100.0,9040.0,9230.0,8620.0,4198909.0,-1.1363636363636365,
2020.04.02,8890.0,90.0,8800.0,9040.0,8530.0,1849099.0,1.0123734533183353,
2020.04.03,8890.0,0.0,9000.0,9120.0,8730.0,1443466.0,0.0,
2020.04.06,9250.0,360.0,8960.0,9430.0,8950.0,1890868.0,3.891891891891892,
2020.04.07,9040.0,210.0,9430.0,9450.0,8780.0,1738783.0,-2.3230088495575223,
2020.04.08,9190.0,150.0,8850.0,9640.0,8840.0,4777803.0,1.6322089227421108,
2020.04.09,8890.0,300.0,9350.0,9360.0,8880.0,2027675.0,-3.374578177727784,
2020.04.10,8570.0,320.0,8890.0,8920.0,8360.0,1831061.0,-3.7339556592765457,
2020.04.13,8590.0,20.0,8770.0,9210.0,8550.0,2668559.0,0.2328288707799767,
2020.04.14,8890.0,300.0,8780.0,9060.0,8590.0,1349098.0,3.374578177727784,
2020.04.16,9340.0,450.0,8940.0,9720.0,8750.0,4239127.0,4.817987152034262,
2020.04.17,10900.0,1560.0,9500.0,11850.0,9380.0,17545962.0,14.311926605504588,
2020.04.20,12700.0,1800.0,11700.0,14150.0,11200.0,21651411.0,14.173228346456693,
2020.04.21,12450.0,250.0,12350.0,12900.0,11250.0,6531821.0,-2.0080321285140563,
2020.04.22,12500.0,50.0,11900.0,13250.0,11800.0,4460587.0,0.4,
