날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,11250.0,150.0,11150.0,11500.0,11100.0,335709.0,,
2020.01.02,11850.0,600.0,11400.0,11950.0,11350.0,816240.0,5.063291139240507,
2020.01.03,11550.0,300.0,12000.0,12000.0,11350.0,333287.0,-2.5974025974025974,
2020.01.06,11900.0,350.0,11400.0,12350.0,11200.0,1068257.0,2.9411764705882346,
2020.01.07,11950.0,50.0,11750.0,12250.0,11500.0,435984.0,0.41841004184100417,
2020.01.08,11200.0,750.0,11750.0,11900.0,11050.0,763761.0,-6.696428571428571,
2020.01.09,12150.0,950.0,11700.0,12200.0,11500.0,591278.0,7.818930041152264,
2020.01.10,12100.0,50.0,12100.0,12250.0,11850.0,266267.0,-0.4132231404958678,
2020.01.13,12150.0,50.0,12250.0,12300.0,11950.0,309495.0,0.41152263374485604,
2020.01.14,11900.0,250.0,12150.0,12200.0,11650.0,274372.0,-2.100840336134454,
2020.01.15,12350.0,450.0,11950.0,12700.0,11950.0,470809.0,3.643724696356275,
2020.01.16,12250.0,100.0,12350.0,12600.0,12150.0,248450.0,-0.8163265306122449,
2020.01.17,12300.0,50.0,12250.0,12550.0,12200.0,186502.0,0.4065040650406505,
2020.01.20,12050.0,250.0,12300.0,12300.0,11950.0,192761.0,-2.0746887966804977,
2020.01.21,11800.0,250.0,12050.0,12750.0,11700.0,794414.0,-2.11864406779661,
2020.01.22,11700.0,100.0,12050.0,12050.0,11550.0,321188.0,-0.8547008547008548,
2020.01.23,11750.0,50.0,11700.0,11850.0,11300.0,263737.0,0.425531914893617,
2020.01.28,11200.0,550.0,11200.0,11450.0,10750.0,234085.0,-4.910714285714286,
2020.01.29,10950.0,250.0,11200.0,11450.0,10850.0,214874.0,-2.28310502283105,
2020.01.30,10900.0,50.0,10950.0,11200.0,10500.0,324942.0,-0.4587155963302753,
2020.01.31,10500.0,400.0,10900.0,11100.0,10100.0,327417.0,-3.8095238095238098,
2020.02.03,10600.0,100.0,9870.0,10600.0,9610.0,451713.0,0.9433962264150944,
2020.02.04,10900.0,300.0,10600.0,10900.0,10300.0,154884.0,2.752293577981652,
2020.02.05,10800.0,100.0,11100.0,11100.0,10550.0,211078.0,-0.9259259259259258,
2020.02.06,10900.0,100.0,10800.0,11000.0,10500.0,221055.0,0.9174311926605504,
2020.02.07,11250.0,350.0,11100.0,11750.0,11000.0,615741.0,3.111111111111111,
2020.02.10,11300.0,50.0,11300.0,11300.0,10850.0,156749.0,0.4424778761061947,
2020.02.11,11400.0,100.0,11300.0,11400.0,11000.0,154535.0,0.8771929824561403,
2020.02.12,11250.0,150.0,11400.0,11400.0,11100.0,151183.0,-1.3333333333333337,
2020.02.13,10900.0,350.0,11150.0,11250.0,10900.0,190646.0,-3.211009174311927,
2020.02.14,11000.0,100.0,10800.0,11100.0,10700.0,193343.0,0.9090909090909092,
2020.02.17,10750.0,250.0,11000.0,11050.0,10600.0,241502.0,-2.3255813953488373,
2020.02.18,10650.0,100.0,10800.0,10800.0,10350.0,238049.0,-0.9389671361502347,
2020.02.19,10550.0,100.0,10650.0,10650.0,10350.0,159623.0,-0.9478672985781992,
2020.02.20,10550.0,0.0,10550.0,10550.0,10200.0,165120.0,0.0,
