날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,5480.0,30.0,5500.0,5520.0,5370.0,99591.0,,
2020.01.02,5550.0,70.0,5540.0,5650.0,5500.0,84563.0,1.2612612612612613,
2020.01.03,5450.0,100.0,5560.0,5600.0,5420.0,75732.0,-1.834862385321101,
2020.01.06,5500.0,50.0,5480.0,5670.0,5450.0,192646.0,0.9090909090909092,
2020.01.07,5520.0,20.0,5610.0,5650.0,5410.0,148813.0,0.3623188405797101,
2020.01.08,5210.0,310.0,5460.0,5520.0,5130.0,214752.0,-5.950095969289827,
2020.01.09,5290.0,80.0,5320.0,5400.0,5290.0,95871.0,1.5122873345935728,
2020.01.10,5360.0,70.0,5390.0,5390.0,5290.0,60105.0,1.3059701492537312,
2020.01.13,5390.0,30.0,5330.0,5440.0,5300.0,38185.0,0.5565862708719851,
2020.01.14,5420.0,30.0,5410.0,5510.0,5380.0,64088.0,0.5535055350553505,
2020.01.15,5360.0,60.0,5470.0,5490.0,5330.0,56678.0,-1.1194029850746268,
2020.01.16,5340.0,20.0,5430.0,5460.0,5340.0,38439.0,-0.3745318352059925,
2020.01.17,5350.0,10.0,5360.0,5450.0,5330.0,63326.0,0.1869158878504673,
2020.01.20,5360.0,10.0,5320.0,5410.0,5320.0,60961.0,0.1865671641791045,
2020.01.21,5580.0,220.0,5380.0,5910.0,5380.0,1114361.0,3.942652329749104,
2020.01.22,5600.0,20.0,5800.0,6150.0,5530.0,757126.0,0.35714285714285715,
2020.01.23,5960.0,360.0,5670.0,6000.0,5490.0,330190.0,6.04026845637584,
2020.01.28,7740.0,1780.0,6740.0,7740.0,6300.0,5221506.0,22.997416020671835,
2020.01.29,8430.0,690.0,7330.0,9800.0,6890.0,19374774.0,8.185053380782918,
2020.01.30,8290.0,140.0,8730.0,8740.0,7810.0,7264165.0,-1.6887816646562124,
2020.01.31,8290.0,0.0,8520.0,8950.0,8000.0,4816347.0,0.0,
2020.02.03,7150.0,1140.0,8100.0,8490.0,6900.0,4015537.0,-15.944055944055945,
2020.02.04,7050.0,100.0,7020.0,7720.0,6450.0,3639129.0,-1.4184397163120568,
2020.02.05,7020.0,30.0,7230.0,7640.0,6990.0,2515370.0,-0.4273504273504274,
2020.02.06,6670.0,350.0,7120.0,7200.0,6650.0,1441755.0,-5.247376311844079,
2020.02.07,6670.0,0.0,6720.0,6940.0,6600.0,1090127.0,0.0,
2020.02.10,6400.0,270.0,6730.0,6850.0,6400.0,605098.0,-4.21875,
2020.02.11,6210.0,190.0,6430.0,6440.0,6070.0,750789.0,-3.0595813204508864,
2020.02.12,6370.0,160.0,6160.0,7150.0,5980.0,2577549.0,2.5117739403453694,
2020.02.13,6630.0,260.0,6310.0,7070.0,6160.0,3678772.0,3.92156862745098,
2020.02.14,6320.0,310.0,6510.0,6690.0,6320.0,789095.0,-4.90506329113924,
2020.02.17,6130.0,190.0,6400.0,6430.0,6090.0,392435.0,-3.0995106035889077,
2020.02.18,6280.0,150.0,6130.0,6740.0,6100.0,1624896.0,2.3885350318471343,
2020.02.19,6680.0,400.0,6250.0,6830.0,6230.0,2089636.0,5.9880239520958085,
2020.02.20,6980.0,300.0,6920.0,7870.0,6710.0,6345025.0,4.297994269340974,
2020.02.21,7060.0,80.0,7530.0,7560.0,6800.0,1713375.0,1.13314447592068,
2020.02.24,6500.0,560.0,7410.0,7470.0,6500.0,1732431.0,-8.615384615384615,
2020.02.25,6540.0,40.0,6240.0,6570.0,6110.0,733625.0,0.6116207951070336,
2020.02.26,6960.0,420.0,6400.0,7990.0,6310.0,5730256.0,6.0344827586206895,
2020.02.27,7120.0,160.0,7600.0,7750.0,6800.0,2390803.0,2.247191011235955,
2020.02.28,7100.0,20.0,7040.0,7250.0,6840.0,923202.0,-0.28169014084507044,
2020.03.02,7710.0,610.0,7360.0,7710.0,7170.0,2296491.0,7.911802853437093,
2020.03.03,7530.0,180.0,7670.0,7810.0,7310.0,1135383.0,-2.3904382470119523,
2020.03.04,7300.0,230.0,7610.0,7700.0,7150.0,822603.0,-3.150684931506849,
2020.03.05,7750.0,450.0,7300.0,7750.0,7100.0,1079347.0,5.806451612903227,
2020.03.06,10050.0,2300.0,10050.0,10050.0,9900.0,7148435.0,22.885572139303484,
2020.03.09,13050.0,3000.0,11950.0,13050.0,11250.0,10825527.0,22.988505747126432,
2020.03.10,13250.0,200.0,13700.0,16550.0,12450.0,23652919.0,1.509433962264151,
2020.03.11,14500.0,1250.0,14650.0,15000.0,13150.0,6328455.0,8.620689655172415,
2020.03.12,13600.0,900.0,14000.0,14350.0,13250.0,2695020.0,-6.617647058823531,
2020.03.13,10750.0,2850.0,12200.0,12250.0,10150.0,3783938.0,-26.511627906976738,
2020.03.16,13950.0,3200.0,10150.0,13950.0,9250.0,8621417.0,22.939068100358423,
2020.03.17,15800.0,1850.0,15000.0,17200.0,14500.0,12861416.0,11.708860759493673,
2020.03.18,15800.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.03.19,16650.0,850.0,17050.0,18000.0,14350.0,10147403.0,5.105105105105106,
2020.03.20,17350.0,700.0,17000.0,20200.0,15650.0,9456846.0,4.034582132564841,
2020.03.23,17450.0,100.0,18300.0,18400.0,15750.0,2906916.0,0.5730659025787965,
2020.03.24,16350.0,1100.0,16850.0,17500.0,16250.0,2514701.0,-6.727828746177369,
2020.03.25,21250.0,4900.0,18800.0,21250.0,17150.0,13543331.0,23.058823529411764,
2020.03.26,27600.0,6350.0,23150.0,27600.0,23100.0,11455452.0,23.007246376811594,
2020.03.27,29350.0,1750.0,31350.0,34800.0,23500.0,12883857.0,5.9625212947189095,
2020.03.30,29350.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.03.31,32250.0,2900.0,34200.0,36550.0,27850.0,13735868.0,8.992248062015504,
2020.04.01,29450.0,2800.0,33650.0,33950.0,28150.0,5704882.0,-9.507640067911714,
2020.04.02,24450.0,5000.0,29450.0,30250.0,22350.0,4816697.0,-20.449897750511244,
2020.04.03,25250.0,800.0,24950.0,26900.0,22650.0,5017510.0,3.1683168316831685,
