날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,37600.0,950.0,39200.0,39450.0,37600.0,137398.0,,
2020.01.02,38300.0,700.0,37850.0,38350.0,36750.0,142753.0,1.827676240208877,
2020.01.03,38800.0,500.0,38300.0,40900.0,38300.0,328101.0,1.2886597938144329,
2020.01.06,37700.0,1100.0,38250.0,38650.0,37300.0,86442.0,-2.9177718832891246,
2020.01.07,38350.0,650.0,38350.0,39000.0,37900.0,86778.0,1.6949152542372878,
2020.01.08,36250.0,2100.0,38150.0,38350.0,36250.0,82869.0,-5.793103448275862,
2020.01.09,37400.0,1150.0,37300.0,38000.0,37150.0,38301.0,3.074866310160428,
2020.01.10,38950.0,1550.0,37150.0,39500.0,37150.0,58299.0,3.9794608472400514,
2020.01.13,38700.0,250.0,39050.0,39600.0,38400.0,49847.0,-0.6459948320413437,
2020.01.14,38300.0,400.0,39000.0,39000.0,38050.0,27836.0,-1.0443864229765014,
2020.01.15,38300.0,0.0,38900.0,38900.0,37700.0,24405.0,0.0,
2020.01.16,38200.0,100.0,38800.0,38800.0,38200.0,29158.0,-0.2617801047120419,
2020.01.17,38850.0,650.0,38100.0,39200.0,37950.0,34975.0,1.6731016731016732,
2020.01.20,38400.0,450.0,39400.0,39700.0,38400.0,80052.0,-1.171875,
2020.01.21,37600.0,800.0,38350.0,38400.0,37350.0,30464.0,-2.127659574468085,
2020.01.22,37050.0,550.0,37600.0,37600.0,36850.0,31042.0,-1.484480431848853,
2020.01.23,36800.0,250.0,37050.0,37050.0,36450.0,18260.0,-0.6793478260869565,
2020.01.28,34800.0,2000.0,35600.0,36600.0,34650.0,36053.0,-5.747126436781608,
2020.01.29,34650.0,150.0,35100.0,35450.0,34500.0,31405.0,-0.4329004329004329,
2020.01.30,30900.0,3750.0,34600.0,34950.0,30800.0,62626.0,-12.135922330097088,
2020.01.31,28750.0,2150.0,30900.0,31500.0,28600.0,50370.0,-7.478260869565218,
2020.02.03,28800.0,50.0,27500.0,29200.0,27350.0,32180.0,0.1736111111111111,
2020.02.04,29400.0,600.0,29100.0,29900.0,29100.0,21018.0,2.0408163265306123,
2020.02.05,28700.0,700.0,29450.0,29500.0,28650.0,22549.0,-2.4390243902439024,
2020.02.06,30000.0,1300.0,28900.0,30650.0,28900.0,32004.0,4.333333333333334,
2020.02.07,30000.0,0.0,29700.0,30200.0,29550.0,14084.0,0.0,
2020.02.10,30500.0,500.0,30350.0,31050.0,30000.0,20494.0,1.639344262295082,
2020.02.11,31300.0,800.0,30400.0,32400.0,30350.0,35653.0,2.5559105431309903,
2020.02.12,32000.0,700.0,31450.0,32350.0,31200.0,19674.0,2.1875,
2020.02.13,31500.0,500.0,32000.0,32550.0,31100.0,28019.0,-1.5873015873015872,
2020.02.14,31400.0,100.0,31400.0,31700.0,31300.0,10989.0,-0.3184713375796179,
2020.02.17,30600.0,800.0,31200.0,31950.0,29950.0,29453.0,-2.6143790849673203,
2020.02.18,30100.0,500.0,31050.0,31050.0,30000.0,13069.0,-1.6611295681063123,
2020.02.19,30500.0,400.0,29800.0,30500.0,29700.0,13183.0,1.3114754098360657,
2020.02.20,30200.0,300.0,30050.0,30450.0,30000.0,8309.0,-0.9933774834437088,
2020.02.21,29850.0,350.0,29600.0,30000.0,29400.0,10301.0,-1.1725293132328307,
2020.02.24,28200.0,1650.0,29200.0,29400.0,27900.0,15552.0,-5.851063829787233,
2020.02.25,28150.0,50.0,27200.0,28450.0,27200.0,12948.0,-0.17761989342806395,
2020.02.26,27550.0,600.0,27550.0,27950.0,27300.0,13019.0,-2.177858439201452,
2020.02.27,26750.0,800.0,28100.0,28400.0,26200.0,26364.0,-2.990654205607477,
2020.02.28,24800.0,1950.0,26500.0,26500.0,24700.0,33372.0,-7.862903225806452,
2020.03.02,26100.0,1300.0,24400.0,26800.0,24400.0,27013.0,4.980842911877394,
2020.03.03,27350.0,1250.0,26750.0,27700.0,26650.0,15325.0,4.570383912248629,
2020.03.04,28550.0,1200.0,27300.0,28900.0,26800.0,19449.0,4.203152364273205,
2020.03.05,30600.0,2050.0,29400.0,34450.0,28650.0,192899.0,6.6993464052287575,
2020.03.06,30950.0,350.0,30100.0,32900.0,29500.0,55003.0,1.1308562197092082,
2020.03.09,28600.0,2350.0,30700.0,30750.0,28200.0,33153.0,-8.216783216783217,
2020.03.10,27550.0,1050.0,27900.0,29450.0,27200.0,30762.0,-3.8112522686025407,
2020.03.11,27800.0,250.0,27550.0,29450.0,27400.0,41044.0,0.8992805755395683,
2020.03.12,25700.0,2100.0,28450.0,28450.0,25100.0,35613.0,-8.171206225680933,
2020.03.13,23000.0,2700.0,23550.0,23750.0,19950.0,54108.0,-11.73913043478261,
2020.03.16,22500.0,500.0,24300.0,24300.0,22300.0,15947.0,-2.2222222222222223,
2020.03.17,20850.0,1650.0,21600.0,23100.0,20050.0,61781.0,-7.913669064748201,
2020.03.18,18450.0,2400.0,21350.0,21950.0,18300.0,96431.0,-13.008130081300814,
2020.03.19,13900.0,4550.0,19000.0,19000.0,13700.0,60148.0,-32.73381294964029,
2020.03.20,15150.0,1250.0,13900.0,15250.0,13700.0,38899.0,8.25082508250825,
2020.03.23,14350.0,800.0,14400.0,15400.0,13700.0,17132.0,-5.574912891986064,
2020.03.24,15800.0,1450.0,14900.0,16000.0,14500.0,19912.0,9.17721518987342,
2020.03.25,16400.0,600.0,16250.0,17000.0,15950.0,48402.0,3.658536585365853,
2020.03.26,16700.0,300.0,16500.0,17350.0,15750.0,71311.0,1.7964071856287425,
2020.03.27,16850.0,150.0,17300.0,18200.0,16250.0,67642.0,0.8902077151335311,
2020.03.30,18250.0,1400.0,16300.0,18750.0,16250.0,59999.0,7.671232876712329,
2020.03.31,19900.0,1650.0,18700.0,20450.0,18500.0,103087.0,8.291457286432161,
2020.04.01,18800.0,1100.0,20100.0,20300.0,18650.0,69482.0,-5.851063829787233,
2020.04.02,19350.0,550.0,18850.0,19600.0,18000.0,52635.0,2.842377260981912,
2020.04.03,20400.0,1050.0,19350.0,21250.0,19350.0,59930.0,5.147058823529411,
2020.04.06,21500.0,1100.0,20500.0,21750.0,20400.0,55223.0,5.116279069767441,
2020.04.07,21950.0,450.0,22150.0,22150.0,21050.0,42287.0,2.050113895216401,
2020.04.08,22800.0,850.0,22050.0,23650.0,21550.0,51886.0,3.728070175438596,
2020.04.09,22950.0,150.0,23000.0,23500.0,22550.0,42558.0,0.6535947712418301,
2020.04.10,23650.0,700.0,23500.0,24700.0,22900.0,70233.0,2.9598308668076108,
2020.04.13,22500.0,1150.0,24350.0,24450.0,22300.0,67234.0,-5.1111111111111125,
2020.04.14,22600.0,100.0,22800.0,23100.0,22100.0,30044.0,0.4424778761061947,
2020.04.16,22700.0,100.0,22350.0,22950.0,22050.0,19558.0,0.4405286343612335,
2020.04.17,22950.0,250.0,22350.0,23500.0,22350.0,34233.0,1.0893246187363834,
2020.04.20,23800.0,850.0,23000.0,24300.0,22800.0,42415.0,3.571428571428571,
2020.04.21,23100.0,700.0,24200.0,24200.0,22000.0,38394.0,-3.0303030303030303,
2020.04.22,24600.0,1500.0,22350.0,24750.0,22250.0,52746.0,6.097560975609755,
2020.04.23,25650.0,1050.0,24650.0,26200.0,24500.0,57207.0,4.093567251461988,
2020.04.24,24550.0,1100.0,25900.0,26000.0,23750.0,66286.0,-4.480651731160896,
2020.04.27,25250.0,700.0,25150.0,25600.0,24750.0,35790.0,2.7722772277227725,
2020.04.28,25250.0,0.0,25450.0,25600.0,24700.0,25928.0,0.0,
2020.04.29,25200.0,50.0,25300.0,25300.0,24700.0,26139.0,-0.1984126984126984,
2020.05.04,26450.0,1250.0,25150.0,27100.0,24450.0,54856.0,4.725897920604915,
2020.05.06,27200.0,750.0,27300.0,27500.0,26000.0,39706.0,2.7573529411764706,
2020.05.07,27900.0,700.0,27200.0,29100.0,26800.0,63050.0,2.508960573476702,
2020.05.08,28600.0,700.0,27900.0,28900.0,27550.0,33772.0,2.4475524475524475,
2020.05.11,28850.0,250.0,28700.0,29500.0,28300.0,60801.0,0.8665511265164645,
2020.05.12,30350.0,1500.0,28950.0,30400.0,28450.0,93679.0,4.942339373970347,
2020.05.13,33500.0,3150.0,30000.0,34200.0,29750.0,132774.0,9.402985074626868,
2020.05.14,33900.0,400.0,33500.0,35700.0,32950.0,122397.0,1.1799410029498525,
2020.05.15,34600.0,700.0,33750.0,34750.0,33300.0,52566.0,2.0231213872832368,
2020.05.18,34850.0,250.0,34150.0,35600.0,34150.0,53122.0,0.7173601147776184,
2020.05.19,34850.0,0.0,35800.0,35800.0,33200.0,38905.0,0.0,
2020.05.20,36850.0,2000.0,34950.0,37450.0,34100.0,73959.0,5.42740841248304,
2020.05.21,37450.0,600.0,37100.0,38600.0,35650.0,124537.0,1.6021361815754342,
2020.05.22,37000.0,450.0,37500.0,37900.0,36700.0,44377.0,-1.2162162162162162,
2020.05.25,36950.0,50.0,37000.0,37150.0,35950.0,46469.0,-0.13531799729364005,
2020.05.26,36750.0,200.0,36200.0,37300.0,36200.0,33751.0,-0.5442176870748299,
2020.05.27,39800.0,3050.0,37000.0,41000.0,36800.0,147216.0,7.663316582914572,
2020.05.28,38750.0,1050.0,40400.0,40450.0,37050.0,85735.0,-2.7096774193548385,
2020.05.29,39200.0,450.0,38750.0,39850.0,37900.0,31067.0,1.1479591836734695,
2020.06.01,50900.0,11700.0,39600.0,50900.0,39300.0,403119.0,22.98624754420432,
2020.06.02,48850.0,2050.0,54000.0,55000.0,47050.0,545302.0,-4.1965199590583415,
2020.06.03,47250.0,1600.0,48900.0,50600.0,47050.0,151241.0,-3.3862433862433865,
2020.06.04,47250.0,0.0,47900.0,47900.0,44200.0,144666.0,0.0,
2020.06.05,47800.0,550.0,46500.0,47950.0,45100.0,80633.0,1.1506276150627617,
2020.06.08,47200.0,600.0,48050.0,49000.0,46850.0,58384.0,-1.2711864406779665,
2020.06.09,48800.0,1600.0,47800.0,51300.0,47100.0,192523.0,3.278688524590164,
2020.06.10,50100.0,1300.0,49350.0,50700.0,48700.0,150107.0,2.5948103792415167,
2020.06.11,48900.0,1200.0,50900.0,53000.0,47450.0,244264.0,-2.4539877300613497,
2020.06.12,46800.0,2100.0,45050.0,47850.0,44200.0,80003.0,-4.487179487179487,
2020.06.15,41950.0,4850.0,46100.0,47200.0,41500.0,86212.0,-11.561382598331347,
2020.06.16,43250.0,1300.0,43000.0,44900.0,42300.0,80811.0,3.0057803468208086,
2020.06.17,40500.0,2750.0,42250.0,42400.0,38050.0,181355.0,-6.790123456790122,
2020.06.18,37500.0,3000.0,40500.0,40800.0,37450.0,126730.0,-8.0,
2020.06.19,48750.0,11250.0,38500.0,48750.0,37500.0,554373.0,23.07692307692308,
2020.06.22,46350.0,2400.0,51400.0,56500.0,45150.0,572689.0,-5.17799352750809,
2020.06.23,47750.0,1400.0,46350.0,55000.0,43300.0,574545.0,2.9319371727748686,
2020.06.24,45000.0,2750.0,48500.0,53000.0,44800.0,472170.0,-6.111111111111112,
2020.06.25,44700.0,300.0,44000.0,46300.0,42800.0,70399.0,-0.6711409395973155,
2020.06.26,43250.0,1450.0,44200.0,45000.0,43200.0,55334.0,-3.352601156069364,
2020.06.29,45550.0,2300.0,46100.0,47200.0,44100.0,169061.0,5.049396267837541,
2020.06.30,45100.0,450.0,45550.0,46800.0,44500.0,76972.0,-0.9977827050997782,
2020.07.01,43000.0,2100.0,45700.0,45700.0,43000.0,73425.0,-4.883720930232559,
2020.07.02,42300.0,700.0,42300.0,43500.0,42000.0,47376.0,-1.6548463356973997,
2020.07.03,41950.0,350.0,40200.0,42300.0,40200.0,57872.0,-0.834326579261025,
2020.07.06,40900.0,1050.0,41750.0,42500.0,40700.0,50859.0,-2.567237163814181,
2020.07.07,40700.0,200.0,40550.0,41300.0,39550.0,53084.0,-0.4914004914004914,
2020.07.08,40550.0,150.0,40050.0,40850.0,40050.0,31151.0,-0.3699136868064119,
2020.07.09,41300.0,750.0,40250.0,42600.0,39900.0,84813.0,1.8159806295399517,
2020.07.10,40800.0,500.0,41350.0,42250.0,40400.0,37773.0,-1.2254901960784317,
2020.07.13,39950.0,850.0,41000.0,41000.0,39850.0,50822.0,-2.127659574468085,
2020.07.14,38700.0,1250.0,39950.0,39950.0,38000.0,108849.0,-3.2299741602067185,
2020.07.15,41800.0,3100.0,39750.0,42250.0,39500.0,156932.0,7.4162679425837315,
2020.07.16,41600.0,200.0,41800.0,48550.0,40200.0,735722.0,-0.4807692307692308,
2020.07.17,40350.0,1250.0,41150.0,41200.0,40050.0,66624.0,-3.0978934324659235,
2020.07.20,39400.0,950.0,40350.0,40350.0,39200.0,42966.0,-2.411167512690356,
2020.07.21,39800.0,400.0,39550.0,40750.0,39500.0,32837.0,1.0050251256281406,
2020.07.22,40000.0,200.0,40000.0,42500.0,39600.0,89593.0,0.5,
2020.07.23,40050.0,50.0,40000.0,40300.0,39400.0,35452.0,0.12484394506866416,
2020.07.24,39800.0,250.0,39500.0,40800.0,39150.0,36402.0,-0.628140703517588,
2020.07.27,39500.0,300.0,39800.0,40150.0,39400.0,25609.0,-0.7594936708860759,
2020.07.28,39850.0,350.0,39500.0,39850.0,39200.0,27784.0,0.8782936010037641,
2020.07.29,39100.0,750.0,39800.0,39800.0,39050.0,25792.0,-1.918158567774936,
2020.07.30,39250.0,150.0,39700.0,39700.0,39050.0,18867.0,0.3821656050955414,
2020.07.31,38300.0,950.0,39450.0,39450.0,38300.0,37650.0,-2.4804177545691903,
2020.08.03,37500.0,800.0,38950.0,38950.0,37450.0,35114.0,-2.1333333333333333,
2020.08.04,37900.0,400.0,38000.0,38350.0,37550.0,21068.0,1.0554089709762533,
2020.08.05,40400.0,2500.0,39000.0,41700.0,38400.0,159972.0,6.188118811881187,
2020.08.06,40000.0,400.0,41250.0,41250.0,39900.0,36499.0,-1.0,
2020.08.07,39500.0,500.0,39800.0,40200.0,38750.0,52636.0,-1.2658227848101269,
2020.08.10,40600.0,1100.0,39550.0,41500.0,38700.0,67284.0,2.70935960591133,
2020.08.11,39500.0,1100.0,40700.0,40750.0,39400.0,37747.0,-2.7848101265822782,
2020.08.12,40050.0,550.0,39500.0,40750.0,39250.0,57605.0,1.373283395755306,
2020.08.13,39500.0,550.0,40350.0,40400.0,39500.0,36223.0,-1.3924050632911391,
2020.08.14,41150.0,1650.0,39500.0,42300.0,38800.0,173341.0,4.0097205346294045,
2020.08.18,43200.0,2050.0,41950.0,47500.0,40850.0,467303.0,4.74537037037037,
2020.08.19,45350.0,2150.0,45050.0,46550.0,43200.0,276229.0,4.740904079382579,
2020.08.20,45200.0,150.0,45750.0,47850.0,43350.0,258569.0,-0.33185840707964603,
2020.08.21,46350.0,1150.0,46500.0,48700.0,45350.0,317954.0,2.481121898597627,
,,,,,,,,-0.9139422353299339
