날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,2100.0,0.0,0.0,0.0,0.0,0.0,,
2020.01.02,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.03,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.06,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.07,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.08,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.09,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.10,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.13,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.14,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.15,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.16,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.17,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.20,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.21,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.22,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.23,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.28,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.29,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.30,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.01.31,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.03,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.04,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.05,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.06,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.07,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.10,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.11,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.12,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.13,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020.02.14,3185.0,735.0,2450.0,3185.0,2250.0,6471868.0,34.065934065934066,
2020.02.17,3600.0,415.0,4140.0,4140.0,3360.0,5905290.0,11.527777777777779,
2020.02.18,3825.0,225.0,4020.0,4370.0,3595.0,12010233.0,5.882352941176469,
2020.02.19,3490.0,335.0,3585.0,3895.0,3440.0,4241174.0,-9.598853868194842,
2020.02.20,3130.0,360.0,3380.0,3405.0,2980.0,3370069.0,-11.501597444089455,
2020.02.21,2960.0,170.0,3005.0,3330.0,2935.0,3999607.0,-5.743243243243244,
2020.02.24,2955.0,5.0,3050.0,3380.0,2890.0,3546655.0,-0.1692047377326565,
2020.02.25,2960.0,5.0,2830.0,3180.0,2795.0,1892782.0,0.16891891891891891,
2020.02.26,2870.0,90.0,2855.0,2975.0,2815.0,687533.0,-3.1358885017421603,
2020.02.27,2890.0,20.0,2975.0,3085.0,2840.0,2001170.0,0.6920415224913495,
2020.02.28,2860.0,30.0,3050.0,3515.0,2825.0,7155823.0,-1.048951048951049,
2020.03.02,3715.0,855.0,2945.0,3715.0,2895.0,10305469.0,23.014804845222073,
2020.03.03,3395.0,320.0,3580.0,3875.0,3365.0,6223251.0,-9.425625920471283,
2020.03.04,3405.0,10.0,3350.0,3510.0,3260.0,2122551.0,0.2936857562408223,
2020.03.05,3245.0,160.0,3550.0,3550.0,3140.0,1981301.0,-4.930662557781202,
2020.03.06,3295.0,50.0,3180.0,3385.0,3130.0,1310198.0,1.5174506828528074,
2020.03.09,3400.0,105.0,3215.0,3430.0,3105.0,1486092.0,3.0882352941176467,
2020.03.10,3275.0,125.0,3230.0,3400.0,3200.0,956501.0,-3.816793893129771,
2020.03.11,3060.0,215.0,3310.0,3370.0,2990.0,831172.0,-7.026143790849672,
2020.03.12,2830.0,230.0,2995.0,3060.0,2750.0,477784.0,-8.12720848056537,
2020.03.13,2650.0,180.0,2630.0,2720.0,2370.0,493625.0,-6.79245283018868,
2020.03.16,2500.0,150.0,2700.0,2760.0,2500.0,404344.0,-6.0,
2020.03.17,2465.0,35.0,2315.0,2565.0,2300.0,258021.0,-1.4198782961460443,
2020.03.18,2305.0,160.0,2505.0,2880.0,2305.0,2678316.0,-6.941431670281996,
2020.03.19,1970.0,335.0,2325.0,2440.0,1925.0,609172.0,-17.00507614213198,
2020.03.20,2095.0,125.0,2080.0,2390.0,1980.0,2369691.0,5.966587112171839,
2020.03.23,1990.0,105.0,1990.0,2080.0,1950.0,357446.0,-5.276381909547738,
2020.03.24,2080.0,90.0,2025.0,2210.0,2000.0,619277.0,4.326923076923077,
2020.03.25,2250.0,170.0,2150.0,2305.0,2100.0,729523.0,7.5555555555555545,
2020.03.26,2230.0,20.0,2230.0,2370.0,2155.0,660208.0,-0.8968609865470852,
2020.03.27,2130.0,100.0,2300.0,2355.0,2075.0,625534.0,-4.694835680751173,
2020.03.30,2335.0,205.0,2080.0,2425.0,2080.0,976177.0,8.779443254817988,
2020.03.31,2370.0,35.0,2385.0,2425.0,2230.0,854659.0,1.4767932489451476,
2020.04.01,2485.0,115.0,2445.0,2615.0,2300.0,1006050.0,4.627766599597585,
2020.04.02,2485.0,0.0,2485.0,2600.0,2400.0,524798.0,0.0,
