날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,1390.0,5.0,1395.0,1400.0,1370.0,37269.0,,
2020.01.02,1415.0,25.0,1360.0,1415.0,1355.0,121269.0,1.76678445229682,
2020.01.03,1415.0,0.0,1400.0,1430.0,1395.0,128636.0,0.0,
2020.01.06,1355.0,60.0,1375.0,1405.0,1340.0,122056.0,-4.428044280442803,
2020.01.07,1400.0,45.0,1345.0,1405.0,1345.0,69074.0,3.214285714285714,
2020.01.08,1305.0,95.0,1400.0,1400.0,1290.0,397598.0,-7.2796934865900385,
2020.01.09,1360.0,55.0,1320.0,1385.0,1320.0,157882.0,4.044117647058823,
2020.01.10,1370.0,10.0,1360.0,1380.0,1345.0,46366.0,0.7299270072992701,
2020.01.13,1375.0,5.0,1370.0,1390.0,1355.0,60450.0,0.3636363636363637,
2020.01.14,1350.0,25.0,1375.0,1385.0,1345.0,80677.0,-1.851851851851852,
2020.01.15,1365.0,15.0,1360.0,1395.0,1345.0,291271.0,1.0989010989010992,
2020.01.16,1360.0,5.0,1355.0,1375.0,1345.0,80969.0,-0.3676470588235294,
2020.01.17,1370.0,10.0,1365.0,1380.0,1350.0,79863.0,0.7299270072992701,
2020.01.20,1420.0,50.0,1380.0,1515.0,1365.0,2467966.0,3.5211267605633805,
2020.01.21,1385.0,35.0,1440.0,1440.0,1385.0,377491.0,-2.527075812274368,
2020.01.22,1470.0,85.0,1385.0,1515.0,1385.0,3127596.0,5.782312925170068,
2020.01.23,1440.0,30.0,1485.0,1620.0,1430.0,5487241.0,-2.083333333333333,
2020.01.28,1565.0,125.0,1525.0,1615.0,1450.0,6510493.0,7.9872204472843435,
2020.01.29,1490.0,75.0,1530.0,1545.0,1435.0,2324067.0,-5.033557046979865,
2020.01.30,1570.0,80.0,1620.0,1875.0,1550.0,34040069.0,5.095541401273887,
2020.01.31,1465.0,105.0,1650.0,1720.0,1465.0,6692172.0,-7.167235494880546,
2020.02.03,1350.0,115.0,1450.0,1580.0,1345.0,3967443.0,-8.518518518518519,
2020.02.04,1380.0,30.0,1380.0,1420.0,1325.0,2019809.0,2.1739130434782608,
2020.02.05,1410.0,30.0,1370.0,1440.0,1365.0,1620695.0,2.127659574468085,
2020.02.06,1420.0,10.0,1415.0,1445.0,1385.0,875617.0,0.7042253521126761,
2020.02.07,1405.0,15.0,1420.0,1425.0,1390.0,701333.0,-1.0676156583629894,
2020.02.10,1380.0,25.0,1410.0,1410.0,1365.0,403099.0,-1.8115942028985508,
2020.02.11,1350.0,30.0,1370.0,1380.0,1340.0,665081.0,-2.2222222222222223,
2020.02.12,1340.0,10.0,1350.0,1360.0,1315.0,607040.0,-0.7462686567164178,
2020.02.13,1315.0,25.0,1335.0,1355.0,1310.0,505017.0,-1.9011406844106464,
2020.02.14,1345.0,30.0,1320.0,1360.0,1320.0,225244.0,2.2304832713754648,
2020.02.17,1320.0,25.0,1330.0,1345.0,1310.0,307590.0,-1.893939393939394,
2020.02.18,1335.0,15.0,1320.0,1355.0,1310.0,286498.0,1.1235955056179776,
