날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,54000.0,400.0,53600.0,54100.0,52900.0,35842.0,,
2020.01.02,53800.0,200.0,57300.0,58300.0,53800.0,107273.0,-0.3717472118959108,
2020.01.03,55500.0,1700.0,54000.0,56100.0,53800.0,67557.0,3.063063063063063,
2020.01.06,53000.0,2500.0,53700.0,55200.0,53000.0,43552.0,-4.716981132075472,
2020.01.07,53700.0,700.0,53800.0,54300.0,53100.0,30449.0,1.303538175046555,
2020.01.08,52900.0,800.0,54000.0,54100.0,52000.0,60038.0,-1.5122873345935728,
2020.01.09,54100.0,1200.0,53600.0,54700.0,53400.0,28898.0,2.2181146025878005,
2020.01.10,54100.0,0.0,54100.0,54400.0,53200.0,29815.0,0.0,
2020.01.13,53800.0,300.0,54300.0,54600.0,53400.0,23152.0,-0.5576208178438662,
2020.01.14,53100.0,700.0,53800.0,55100.0,53100.0,39103.0,-1.3182674199623352,
2020.01.15,52000.0,1100.0,53300.0,53300.0,51600.0,53748.0,-2.1153846153846154,
2020.01.16,52900.0,900.0,52000.0,53000.0,52000.0,21403.0,1.7013232514177694,
2020.01.17,52700.0,200.0,52900.0,53300.0,52300.0,19679.0,-0.3795066413662239,
2020.01.20,51700.0,1000.0,52700.0,53000.0,51600.0,35607.0,-1.9342359767891684,
2020.01.21,51500.0,200.0,51700.0,52400.0,51200.0,23638.0,-0.3883495145631068,
2020.01.22,52500.0,1000.0,51500.0,52800.0,51500.0,18025.0,1.9047619047619049,
2020.01.23,51600.0,900.0,51900.0,52500.0,51300.0,28540.0,-1.7441860465116281,
2020.01.28,50600.0,1000.0,50000.0,51100.0,49700.0,38983.0,-1.9762845849802373,
2020.01.29,51300.0,700.0,50700.0,51300.0,50200.0,22275.0,1.364522417153996,
2020.01.30,49600.0,1700.0,50800.0,51300.0,49600.0,33049.0,-3.427419354838709,
2020.01.31,48000.0,1600.0,50400.0,50500.0,48000.0,26307.0,-3.333333333333333,
2020.02.03,48150.0,150.0,46100.0,48600.0,46100.0,43480.0,0.3115264797507788,
2020.02.04,49750.0,1600.0,48150.0,49750.0,47650.0,21254.0,3.2160804020100504,
2020.02.05,49250.0,500.0,49800.0,50000.0,48650.0,20912.0,-1.0152284263959392,
2020.02.06,50000.0,750.0,49900.0,50300.0,49350.0,21016.0,1.5,
2020.02.07,49500.0,500.0,50000.0,50100.0,49200.0,21054.0,-1.0101010101010102,
2020.02.10,49550.0,50.0,49050.0,49700.0,48450.0,14547.0,0.10090817356205853,
2020.02.11,49850.0,300.0,49050.0,50200.0,49050.0,14488.0,0.6018054162487462,
2020.02.12,49500.0,350.0,49500.0,50100.0,49150.0,14887.0,-0.7070707070707071,
2020.02.13,49650.0,150.0,49450.0,50200.0,49100.0,29417.0,0.3021148036253776,
2020.02.14,49250.0,400.0,49500.0,49850.0,49150.0,16501.0,-0.8121827411167513,
2020.02.17,48650.0,600.0,49500.0,49500.0,48450.0,28404.0,-1.2332990750256936,
2020.02.18,47950.0,700.0,48600.0,48600.0,47950.0,29646.0,-1.45985401459854,
2020.02.19,50100.0,2150.0,48100.0,50400.0,47950.0,48747.0,4.291417165668664,
2020.02.20,50500.0,400.0,50000.0,51600.0,49900.0,38294.0,0.7920792079207921,
2020.02.21,48100.0,2400.0,49900.0,50400.0,47750.0,50298.0,-4.989604989604991,
2020.02.24,45250.0,2850.0,47000.0,47900.0,45200.0,50977.0,-6.298342541436464,
2020.02.25,46200.0,950.0,45700.0,46300.0,45000.0,39480.0,2.0562770562770565,
2020.02.26,46300.0,100.0,45900.0,46650.0,44900.0,41050.0,0.21598272138228944,
2020.02.27,45850.0,450.0,46050.0,47650.0,45800.0,39370.0,-0.9814612868047984,
2020.02.28,43950.0,1900.0,45650.0,45700.0,43250.0,41177.0,-4.3230944254835055,
2020.03.02,45550.0,1600.0,43950.0,45900.0,43000.0,45078.0,3.512623490669594,
