날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,132500.0,500.0,131500.0,132500.0,130500.0,13290.0,,
2020.01.02,131000.0,1500.0,132000.0,132000.0,129500.0,15768.0,-1.1450381679389312,
2020.01.03,131500.0,500.0,132000.0,132500.0,130000.0,32148.0,0.3802281368821293,
2020.01.06,127500.0,4000.0,129500.0,131000.0,127500.0,20875.0,-3.1372549019607843,
2020.01.07,127500.0,0.0,128000.0,129000.0,126500.0,28079.0,0.0,
2020.01.08,122500.0,5000.0,126500.0,126500.0,120500.0,58470.0,-4.081632653061225,
2020.01.09,124500.0,2000.0,124000.0,125500.0,123500.0,30192.0,1.6064257028112447,
2020.01.10,126000.0,1500.0,124000.0,127500.0,123500.0,35947.0,1.1904761904761905,
2020.01.13,127500.0,1500.0,126000.0,128500.0,125000.0,22399.0,1.1764705882352942,
2020.01.14,128000.0,500.0,128000.0,130000.0,127500.0,29160.0,0.390625,
2020.01.15,125500.0,2500.0,127500.0,128500.0,124000.0,45545.0,-1.99203187250996,
2020.01.16,123500.0,2000.0,125500.0,126000.0,123000.0,30026.0,-1.6194331983805668,
2020.01.17,122500.0,1000.0,123500.0,124500.0,121000.0,51923.0,-0.8163265306122449,
2020.01.20,123000.0,500.0,122500.0,124000.0,122000.0,25596.0,0.4065040650406505,
2020.01.21,121500.0,1500.0,124000.0,125000.0,121500.0,25456.0,-1.2345679012345678,
2020.01.22,127000.0,5500.0,123500.0,127500.0,123000.0,53665.0,4.330708661417323,
2020.01.23,127000.0,0.0,128500.0,128500.0,126000.0,43636.0,0.0,
2020.01.28,139000.0,12000.0,132000.0,141500.0,129000.0,271908.0,8.633093525179858,
2020.01.29,131500.0,7500.0,136000.0,137000.0,129500.0,99305.0,-5.70342205323194,
2020.01.30,129000.0,2500.0,132000.0,135000.0,129000.0,65759.0,-1.937984496124031,
2020.01.31,123500.0,5500.0,129000.0,130000.0,123500.0,60213.0,-4.453441295546559,
2020.02.03,120500.0,3000.0,124000.0,127500.0,119500.0,58753.0,-2.489626556016597,
2020.02.04,121000.0,500.0,120000.0,123000.0,119000.0,42775.0,0.4132231404958678,
2020.02.05,119500.0,1500.0,121500.0,122000.0,119000.0,56006.0,-1.2552301255230125,
2020.02.06,123500.0,4000.0,120000.0,124000.0,118500.0,48414.0,3.238866396761133,
2020.02.07,122500.0,1000.0,123500.0,124500.0,121500.0,27872.0,-0.8163265306122449,
2020.02.10,122000.0,500.0,121500.0,122500.0,120000.0,22423.0,-0.4098360655737705,
2020.02.11,122500.0,500.0,123000.0,123500.0,122000.0,22199.0,0.4081632653061225,
2020.02.12,122000.0,500.0,120500.0,123000.0,120000.0,49656.0,-0.4098360655737705,
2020.02.13,119000.0,3000.0,121500.0,121500.0,118500.0,81050.0,-2.5210084033613445,
2020.02.14,118500.0,500.0,119500.0,120000.0,117500.0,40280.0,-0.42194092827004215,
2020.02.17,117500.0,1000.0,118500.0,119500.0,117000.0,32785.0,-0.851063829787234,
2020.02.18,114500.0,3000.0,117500.0,118000.0,113500.0,53205.0,-2.6200873362445414,
2020.02.19,116000.0,1500.0,115000.0,117000.0,114500.0,41317.0,1.293103448275862,
2020.02.20,113500.0,2500.0,116000.0,116000.0,113500.0,32721.0,-2.202643171806168,
