날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,18350.0,100.0,18250.0,18400.0,18100.0,34130.0,,
2020.01.02,18550.0,200.0,18350.0,18600.0,18150.0,35620.0,1.0781671159029649,
2020.01.03,18350.0,200.0,18550.0,18800.0,18300.0,35927.0,-1.08991825613079,
2020.01.06,17450.0,900.0,18300.0,18300.0,17400.0,126132.0,-5.1575931232091685,
2020.01.07,17550.0,100.0,17450.0,17750.0,17400.0,55712.0,0.5698005698005698,
2020.01.08,16850.0,700.0,17400.0,17450.0,16600.0,119468.0,-4.154302670623145,
2020.01.09,16900.0,50.0,17100.0,17250.0,16850.0,60771.0,0.2958579881656805,
2020.01.10,17100.0,200.0,16950.0,17250.0,16650.0,95937.0,1.1695906432748535,
2020.01.13,17450.0,350.0,17100.0,17500.0,17100.0,52463.0,2.005730659025788,
2020.01.14,17400.0,50.0,17500.0,17750.0,17400.0,58209.0,-0.28735632183908044,
2020.01.15,17500.0,100.0,17450.0,17600.0,17300.0,14179.0,0.5714285714285714,
2020.01.16,17500.0,0.0,17600.0,17650.0,17350.0,30180.0,0.0,
2020.01.17,17550.0,50.0,17600.0,17700.0,17450.0,61959.0,0.2849002849002849,
2020.01.20,17600.0,50.0,17550.0,17650.0,17450.0,30565.0,0.2840909090909091,
2020.01.21,17500.0,100.0,17700.0,17950.0,17450.0,41656.0,-0.5714285714285714,
2020.01.22,17600.0,100.0,17400.0,17750.0,17400.0,31114.0,0.5681818181818182,
2020.01.23,17900.0,300.0,17500.0,18200.0,17350.0,86224.0,1.675977653631285,
2020.01.28,17700.0,200.0,18200.0,18300.0,17250.0,165628.0,-1.1299435028248588,
2020.01.29,17500.0,200.0,17500.0,17700.0,17300.0,63458.0,-1.1428571428571428,
2020.01.30,17000.0,500.0,17400.0,17650.0,17000.0,70954.0,-2.9411764705882346,
2020.01.31,16500.0,500.0,17050.0,17300.0,16500.0,88372.0,-3.0303030303030303,
2020.02.03,16350.0,150.0,16500.0,16800.0,15900.0,106589.0,-0.9174311926605504,
2020.02.04,17000.0,650.0,16350.0,17400.0,16300.0,122778.0,3.8235294117647056,
2020.02.05,17900.0,900.0,17200.0,18000.0,17000.0,103322.0,5.027932960893856,
2020.02.06,17950.0,50.0,17900.0,18000.0,17700.0,47769.0,0.2785515320334262,
2020.02.07,17850.0,100.0,18100.0,18100.0,17550.0,37995.0,-0.5602240896358543,
2020.02.10,17450.0,400.0,17700.0,17700.0,17150.0,59413.0,-2.292263610315186,
2020.02.11,17500.0,50.0,17550.0,17600.0,17250.0,38594.0,0.2857142857142857,
2020.02.12,17200.0,300.0,17500.0,17500.0,17050.0,34999.0,-1.7441860465116281,
2020.02.13,17450.0,250.0,17300.0,17500.0,17100.0,41662.0,1.4326647564469914,
2020.02.14,17200.0,250.0,17300.0,17450.0,17200.0,16475.0,-1.4534883720930232,
2020.02.17,17600.0,400.0,17200.0,17800.0,17200.0,30116.0,2.272727272727273,
2020.02.18,17450.0,150.0,17600.0,17800.0,17300.0,38949.0,-0.8595988538681949,
2020.02.19,17200.0,250.0,17450.0,17750.0,17150.0,36072.0,-1.4534883720930232,
2020.02.20,17150.0,50.0,17250.0,17250.0,16950.0,33103.0,-0.2915451895043732,
2020.02.21,16800.0,350.0,17100.0,17100.0,16600.0,61828.0,-2.083333333333333,
2020.02.24,16100.0,700.0,16500.0,16700.0,16000.0,84772.0,-4.3478260869565215,
2020.02.25,16600.0,500.0,16100.0,16700.0,15900.0,53769.0,3.0120481927710845,
2020.02.26,17050.0,450.0,16400.0,17050.0,16150.0,56752.0,2.6392961876832843,
2020.02.27,16650.0,400.0,16750.0,17550.0,16600.0,87776.0,-2.4024024024024024,
2020.02.28,15800.0,850.0,16850.0,16850.0,15700.0,91271.0,-5.379746835443037,
2020.03.02,16050.0,250.0,15800.0,16050.0,15300.0,40478.0,1.557632398753894,
2020.03.03,17500.0,1450.0,16200.0,19250.0,16150.0,2435183.0,8.285714285714285,
2020.03.04,17250.0,250.0,18000.0,18450.0,17000.0,775715.0,-1.4492753623188406,
2020.03.05,17450.0,200.0,17300.0,17550.0,17050.0,286713.0,1.146131805157593,
2020.03.06,16900.0,550.0,17550.0,17600.0,16850.0,187094.0,-3.2544378698224854,
2020.03.09,16400.0,500.0,17200.0,17500.0,16300.0,319266.0,-3.0487804878048776,
2020.03.10,16050.0,350.0,16500.0,16500.0,15850.0,162840.0,-2.1806853582554515,
2020.03.11,15550.0,500.0,16100.0,16350.0,15400.0,141741.0,-3.2154340836012865,
2020.03.12,14450.0,1100.0,15400.0,15700.0,14400.0,210877.0,-7.612456747404845,
2020.03.13,13600.0,850.0,13500.0,14200.0,13000.0,234369.0,-6.25,
2020.03.16,14000.0,400.0,13650.0,16700.0,13500.0,1356059.0,2.8571428571428568,
2020.03.17,13850.0,150.0,13150.0,15150.0,12850.0,510894.0,-1.083032490974729,
2020.03.18,13000.0,850.0,14000.0,14450.0,12950.0,290709.0,-6.538461538461538,
2020.03.19,11250.0,1750.0,13200.0,13450.0,10750.0,368511.0,-15.555555555555555,
