날짜,종가,전일비,시가,고가,저가,거래량,rate,BETA
2019.12.30,36200.0,200.0,36050.0,36550.0,35950.0,25264.0,,
2020.01.02,35400.0,800.0,36500.0,36500.0,35350.0,22327.0,-2.2598870056497176,
2020.01.03,35100.0,300.0,35150.0,35600.0,34700.0,14818.0,-0.8547008547008548,
2020.01.06,34650.0,450.0,34600.0,36100.0,33600.0,68707.0,-1.2987012987012987,
2020.01.07,34550.0,100.0,34450.0,35000.0,34350.0,12220.0,-0.2894356005788712,
2020.01.08,33500.0,1050.0,34500.0,34500.0,33250.0,28133.0,-3.134328358208955,
2020.01.09,35000.0,1500.0,34200.0,35350.0,34200.0,26404.0,4.285714285714286,
2020.01.10,34900.0,100.0,34850.0,35350.0,34600.0,15473.0,-0.28653295128939826,
2020.01.13,34750.0,150.0,35100.0,35100.0,34600.0,9732.0,-0.4316546762589928,
2020.01.14,34500.0,250.0,34650.0,35050.0,34350.0,14693.0,-0.7246376811594203,
2020.01.15,34350.0,150.0,34500.0,35700.0,34200.0,16003.0,-0.4366812227074235,
2020.01.16,34000.0,350.0,34300.0,34600.0,33800.0,11329.0,-1.0294117647058822,
2020.01.17,33900.0,100.0,34300.0,34300.0,33700.0,11061.0,-0.2949852507374631,
2020.01.20,33750.0,150.0,34050.0,34050.0,33350.0,10141.0,-0.4444444444444444,
2020.01.21,33500.0,250.0,33750.0,33850.0,33100.0,13780.0,-0.7462686567164178,
2020.01.22,33750.0,250.0,33350.0,33750.0,33250.0,7706.0,0.7407407407407408,
2020.01.23,33600.0,150.0,33800.0,34050.0,33350.0,11952.0,-0.4464285714285714,
2020.01.28,32900.0,700.0,33200.0,33500.0,32600.0,30928.0,-2.127659574468085,
2020.01.29,32850.0,50.0,32750.0,33100.0,32350.0,15035.0,-0.15220700152207,
2020.01.30,32350.0,500.0,33300.0,33500.0,32350.0,10865.0,-1.545595054095827,
2020.01.31,31550.0,800.0,32150.0,32900.0,31500.0,16556.0,-2.5356576862123608,
2020.02.03,30550.0,1000.0,30350.0,31950.0,29900.0,34143.0,-3.2733224222585933,
2020.02.04,31450.0,900.0,30400.0,31750.0,30400.0,13873.0,2.861685214626392,
2020.02.05,31900.0,450.0,32000.0,32400.0,31400.0,14216.0,1.4106583072100314,
2020.02.06,33000.0,1100.0,31800.0,33300.0,31800.0,23801.0,3.333333333333333,
2020.02.07,33100.0,100.0,32800.0,33500.0,32650.0,5633.0,0.3021148036253776,
2020.02.10,32600.0,500.0,33200.0,33200.0,32500.0,5575.0,-1.5337423312883436,
2020.02.11,32500.0,100.0,32750.0,32900.0,32200.0,6552.0,-0.3076923076923077,
2020.02.12,32300.0,200.0,31100.0,32600.0,31000.0,19015.0,-0.6191950464396285,
2020.02.13,31950.0,350.0,32800.0,32800.0,31800.0,7422.0,-1.0954616588419406,
2020.02.14,32350.0,400.0,32350.0,32350.0,31750.0,9583.0,1.2364760432766615,
2020.02.17,31600.0,750.0,32500.0,32800.0,31550.0,18126.0,-2.373417721518988,
2020.02.18,31700.0,100.0,31350.0,32400.0,31350.0,13995.0,0.3154574132492113,
2020.02.19,31250.0,450.0,31700.0,32000.0,31150.0,7469.0,-1.44,
2020.02.20,31100.0,150.0,31250.0,31500.0,31000.0,4603.0,-0.482315112540193,
2020.02.21,30150.0,950.0,31000.0,31100.0,29950.0,22667.0,-3.150912106135987,
2020.02.24,28050.0,2100.0,29700.0,29750.0,28050.0,33219.0,-7.4866310160427805,
2020.02.25,28750.0,700.0,28050.0,29500.0,27850.0,22014.0,2.4347826086956523,
2020.02.26,29000.0,250.0,28750.0,29250.0,28000.0,10345.0,0.8620689655172413,
2020.02.27,28600.0,400.0,28600.0,29700.0,28500.0,12750.0,-1.3986013986013983,
2020.02.28,27800.0,800.0,28600.0,28600.0,27300.0,22763.0,-2.8776978417266186,
2020.03.02,27900.0,100.0,27800.0,28600.0,27550.0,9902.0,0.35842293906810035,
2020.03.03,28350.0,450.0,28800.0,28800.0,28100.0,11776.0,1.5873015873015872,
2020.03.04,28800.0,450.0,28550.0,29500.0,28000.0,26340.0,1.5625,
2020.03.05,29400.0,600.0,28500.0,29550.0,28500.0,21119.0,2.0408163265306123,
2020.03.06,29350.0,50.0,28700.0,29600.0,28700.0,9497.0,-0.17035775127768313,
2020.03.09,28450.0,900.0,29350.0,29350.0,28000.0,26640.0,-3.1634446397188047,
2020.03.10,28200.0,250.0,27750.0,28400.0,27300.0,21506.0,-0.8865248226950355,
2020.03.11,27250.0,950.0,28200.0,28500.0,26800.0,24262.0,-3.486238532110092,
2020.03.12,24250.0,3000.0,26500.0,26900.0,24050.0,71665.0,-12.371134020618555,
2020.03.13,20700.0,3550.0,21000.0,22600.0,20200.0,113891.0,-17.14975845410628,
2020.03.16,20050.0,650.0,20600.0,21950.0,20050.0,71816.0,-3.2418952618453867,
2020.03.17,20000.0,50.0,18500.0,20200.0,18450.0,44548.0,-0.25,
2020.03.18,18250.0,1750.0,19600.0,21400.0,18250.0,110411.0,-9.58904109589041,
2020.03.19,15650.0,2600.0,18500.0,19800.0,15250.0,142899.0,-16.61341853035144,
2020.03.20,18100.0,2450.0,15800.0,18100.0,15800.0,88987.0,13.535911602209945,
2020.03.23,17800.0,300.0,16750.0,18150.0,16500.0,43302.0,-1.6853932584269662,
2020.03.24,19050.0,1250.0,18500.0,19250.0,18000.0,36339.0,6.561679790026248,
2020.03.25,19650.0,600.0,20100.0,20100.0,19100.0,35231.0,3.0534351145038165,
2020.03.26,20400.0,750.0,19700.0,21400.0,19000.0,67574.0,3.6764705882352944,
2020.03.27,21200.0,800.0,21050.0,23000.0,19600.0,137496.0,3.7735849056603774,
2020.03.30,21500.0,300.0,20600.0,22550.0,20100.0,65086.0,1.3953488372093024,
2020.03.31,23000.0,1500.0,22000.0,25900.0,21500.0,134923.0,6.521739130434782,
2020.04.01,22750.0,250.0,23050.0,25350.0,22650.0,119530.0,-1.0989010989010992,
2020.04.02,22800.0,50.0,23000.0,23350.0,21950.0,38229.0,0.21929824561403508,
2020.04.03,23600.0,800.0,23400.0,24800.0,23050.0,74794.0,3.3898305084745757,
2020.04.06,26150.0,2550.0,23700.0,27750.0,23700.0,166631.0,9.751434034416825,
2020.04.07,27700.0,1550.0,26850.0,30900.0,26200.0,291681.0,5.5956678700361016,
2020.04.08,26800.0,900.0,28150.0,28150.0,26450.0,81894.0,-3.3582089552238807,
2020.04.09,26700.0,100.0,26950.0,27350.0,26200.0,39430.0,-0.3745318352059925,
